state,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059517904969745065,0.0,0.0,0.06967831842991523,0.0,0.0,0.06781500067815001,0.10106843777071904,0.0,0.0,0.12060907583295642,0.1310425160163075,0.0,0.0,0.0,0.0,0.09528346831824679,0.0,0.13377926421404682,0.18936133585815115,0.15479876160990713,0.20390824129141888,0.08742787200559538,0.28756290438533433,0.5042958535674262,0.24742268041237112,0.33200531208499334,0.18744142455482662,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03847041624990383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06847556278353163,0.05863628748534093,0.05853821709315939,0.058386854616732,0.09988346928583319,0.07414730598121602,0.07223113964686999,0.0,0.07824113919098662,0.04586104104563173,0.06820248560169748,0.130568356374808,0.18488948651147155,0.15957446808510636,0.1607565011820331,0.13335873499714232,0.22248017024569547,0.26661588268901165,0.30496802754549923,0.39195979899497485,0.3338201543918214,0.26705240903527316,0.25487588652482274,F
Illinois,0.0,0.0023895890384771626,0.003433830094086945,0.0038562208072034205,0.0,0.0,0.002548679783871954,0.002628590654834504,0.004280180623622317,0.005153694626414403,0.0,0.006778073548259884,0.0,0.005002720229124586,0.006636420676673584,0.008423180592991915,0.006484944121398155,0.008427052370300003,0.006902528626320108,0.00925383262901385,0.0069365765682443525,0.008213797686695888,0.0,0.018829254868448688,0.006975495085763712,0.014236598022536535,0.012179657106829922,0.013195029872081515,0.013213142672578325,0.008043816864227683,0.010576254797086997,0.014070634585619812,0.013152895098354428,0.017669717637912145,0.01462629808395495,0.02138122728244601,0.034612778743335196,0.03510606513295488,0.04638853822871831,0.0374464632595586,0.05367686527106817,0.0664277454751224,0.06679916542277274,0.08364770930748062,0.05922194047777926,0.06097251155937198,0.06466553065058767,0.09009245410095602,0.07454040898436448,0.08864675192760516,0.0995098905391204,0.11740978856769527,0.09618626420482716,0.13671531107911883,0.1397181622695469,0.16766548470052453,0.17878288328031763,0.2104914620878861,0.16997167138810199,0.23511255259889796,0.2692196404533961,0.2987861811391223,0.28209744411210186,0.2738901429646351,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006272659984192897,0.0,0.0,0.0,0.00865064375207255,0.007298524238398996,0.010362694300518135,0.007568876778686043,0.008633590422470359,0.007316145269380468,0.00984722730214107,0.0,0.00865850842761487,0.010110639281277985,0.007544095236658267,0.009123255177447312,0.009094629621208676,0.009346231132295902,0.011069118740018027,0.010610079575596818,0.01646558692333024,0.011790367269940458,0.01645376492057319,0.020247644264465382,0.0315741281593862,0.027535269440710088,0.02907352371107378,0.03274447846231929,0.03826191109928134,0.03984196022444304,0.04643834480471018,0.04286326618088298,0.04571854310242647,0.05258176464402146,0.05561928598741614,0.05972246618654488,0.06074682865820976,0.0644399097841263,0.08370637260254031,0.10006608137449258,0.1270496684797713,0.13572204125950055,0.14644395865611137,0.15681833032038855,0.22706023774542541,0.1963496809317685,0.27473151238562316,0.25113244302579385,0.30557677616501144,0.27822144366015766,0.24969794603302456,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012514391550282826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020062192797672785,0.0,0.0,0.0,0.0168449423060726,0.0,0.02188047011752938,0.0,0.022559541074478714,0.0380023434778478,0.021937384436992696,0.05825431243729571,0.049766099333134264,0.054246482454653334,0.04920567974131871,0.06145392762896287,0.050434093447170286,0.05229930143075946,0.0706713780918728,0.08640444795071191,0.07105459985041138,0.07027681255612385,0.05140371688414393,0.08350896727243806,0.08898236531305614,0.08140670791273201,0.11160269440790786,0.13623415761879204,0.09036922282468371,0.1323898653275508,0.18583817783284093,0.2653051008659959,0.29512033786190406,0.3532483489479343,0.31505665938309874,0.38377761642983094,0.5162122923052105,0.39858786015260217,0.4407385348421679,0.36641411004844116,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021138669673055242,0.0,0.0,0.0,0.02344757512993865,0.03585228857108712,0.032654394056900286,0.036618113760273414,0.06374248037926775,0.10664770707429791,0.05885584242329123,0.05973477758751145,0.09154593217640503,0.08302364197042776,0.044482186906061705,0.02858659696982072,0.08970804110259338,0.08137027543838235,0.07138058448102116,0.11334408649025676,0.1309787272480918,0.19094901661256444,0.166010529810748,0.2533909673572812,0.22409242567601215,0.28866605894864783,0.3698109276524819,0.23428348301444746,0.34993584509506587,0.23221706184307017,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018113129431247738,0.018102824040550324,0.012818540737322463,0.0,0.0,0.023802597127819947,0.02712085050987199,0.02449179524859172,0.0,0.013868086758750764,0.021996150673632114,0.019289060347203086,0.01442002653284882,0.018078278947844164,0.04474988013424964,0.07575009057076046,0.0679001867255135,0.10365200566630965,0.09919580543451306,0.0717128617017462,0.19752534287418008,0.15619508766449294,0.09082277174586137,0.09907814250021539,F
Louisiana,0.0,0.0,0.0,0.0,0.008205240413544116,0.0,0.0,0.0,0.0,0.011147561868968373,0.0,0.013593189811904235,0.010422094841063054,0.0,0.01584702340077122,0.0,0.0,0.016828642349278472,0.0,0.014761392631956307,0.016676394563495373,0.009756287927569319,0.00970817233947537,0.02019942339827754,0.008731336767659128,0.015516706320471706,0.010026067776218167,0.010255884313624942,0.008686135191008113,0.00878348704435661,0.022356776897997206,0.015820594458836792,0.010030693923405621,0.016201219141740414,0.024877168978170286,0.023239600278875203,0.0177320684457842,0.011558555642886865,0.033654655159979806,0.037019669784545524,0.03573160460427248,0.035622503244192256,0.017941357391839247,0.028482651475919215,0.026390794890742107,0.016621879934620606,0.042687612054981644,0.03138373751783167,0.026058254676009036,0.021534485941057037,0.023937045570150504,0.026661136949373464,0.037335490495006375,0.015876543993903407,0.047504326286858266,0.07188334360238242,0.07605351401804543,0.12318220701454234,0.10183645066023966,0.08172160174339417,0.1654871307348333,0.15897649418978765,0.13723511604439959,0.14463776747351853,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526592943654555,0.0,0.0,0.0,0.0808979674385681,0.0,0.08394543546694648,0.0,0.12635569127092766,0.09732886341516167,0.0,0.10850694444444445,0.19011406844106463,0.21456804065499718,0.18302447952413636,0.14864362690449648,0.08969759097898514,0.3126274296588283,0.3221739739459308,0.40103122314523065,0.45608356627924085,0.33721643163703247,0.2513747054202671,0.456190026742174,0.4330504070673827,0.6802721088435374,0.5080918328942416,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011949810794662417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014900908955446282,0.0,0.0,0.0,0.0,0.0,0.0,0.012062483665386703,0.0,0.012996416702252094,0.0,0.011126358342914365,0.013494496173346441,0.02430921319179969,0.026841203311791545,0.035952204716083326,0.021610874592094743,0.03588811878967319,0.05148984754527749,0.05205857721645051,0.03789398600151576,0.04110152075626798,0.08095854922279792,0.0750017045841951,0.06493657088522461,0.07427178832540327,0.07750524300173248,0.0666360294117647,0.08013387070164274,0.1008312429295165,0.15615555107797705,0.1591253240253574,0.15876734077717916,0.12507318111661078,0.24107119461258286,0.2605705689571805,0.31705770450221943,0.2303206997084548,0.18784102090104057,0.20153671747071422,F
Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009265550682562233,0.0,0.0,0.0,0.0,0.0,0.009629670390139218,0.0,0.007908472610323193,0.011211390773025394,0.022825187594510542,0.010416201657664092,0.009121729479909392,0.046776331176424726,0.06543458137827572,0.04578155657292348,0.044274633914369574,0.07514277126540427,0.07376980467767626,0.06839126643527621,0.08720524626761546,0.10172576874341907,0.11467041503292151,0.12763982362497098,0.12867210388787712,0.17420544088156056,0.16025978955359213,0.17424292551666337,0.2370649972380777,0.2325634944391996,0.25754926515760124,0.23433763749402198,0.274358240290104,0.33168304758188427,0.3386395095906664,0.3466071015943927,0.34966887417218545,0.3504958565412308,F
Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032419114309797056,0.0,0.0,0.0,0.004357868130910358,0.006714964671824755,0.004372476716561485,0.004946542013807919,0.006842805550275614,0.00678575669669364,0.0,0.0,0.005696815480146598,0.007698303486369191,0.0,0.005466771142737394,0.015827236916150816,0.009546373679779913,0.007973845785822503,0.004489176595228903,0.0,0.0,0.005422846452102709,0.01201945302243015,0.012759286938135685,0.011951165698315804,0.009628177298508508,0.015528486145139584,0.024210469683111854,0.021822874167409908,0.021541173014785076,0.03333670067683604,0.03641812165733669,0.04042424177951767,0.032341875181923045,0.04694015675829094,0.057819536331795186,0.04869411243913236,0.06761712661593472,0.06330172228459499,0.07450937976950163,0.0734825846274433,0.09764510442953701,0.09385632161432873,0.09431547177946348,0.09722202364782752,0.102531626483316,0.14843054231832883,0.17542750576856211,0.2021868530020704,0.2261257127875729,0.23098069196610116,0.2520627132030449,0.31209048899924136,0.32615786040443573,0.39564414635065376,0.2826601906961005,F
Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009015994374019511,0.0,0.0,0.0,0.0,0.011016127610822242,0.010649627263045794,0.0,0.016646552082899828,0.0,0.009525260992151185,0.0,0.01732111617272617,0.010332891315204849,0.024057462968690928,0.0,0.012405408758218581,0.0,0.012853942487788754,0.014981834525637665,0.012976179442024286,0.009079023823358512,0.021884631517516823,0.031654408341867606,0.025164050250672653,0.0474580293053331,0.06453564586064334,0.07303230114347717,0.07784557121817799,0.06295114990767164,0.09977921195652174,0.08072396652079705,0.10125300594861411,0.107977367943679,0.06266070309630302,0.11316564888756031,0.13443774664989808,0.09883810318697973,0.14790647090810224,0.15499000426784068,0.13813124809776883,0.17891279839223567,0.20589001824341935,0.2855496175206958,0.27837837837837837,0.3401360544217687,0.340918539870839,0.34304352716229897,0.48538045689705284,0.47327821998217523,0.4019266962263549,0.4222776392352452,F
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361249924739599,0.0,0.0,0.0,0.05300470416749486,0.04162619675315665,0.051607195517546445,F
Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007672712764324956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192789666473877,0.010973678847450187,0.015710919088766692,0.009593092973059396,0.015038599070948767,0.015321756894790602,0.02816207272855282,0.0,0.02871500358937545,0.03078817733990148,0.04365858982754857,0.04287685022929794,0.03356330412082789,0.06940026603435313,0.05332174737341022,0.07100171587480031,0.08532084606532005,0.05803249819899143,0.07321223633701374,0.054396002901120157,0.06645346181002616,0.07465800048308117,0.11491611123879567,0.13670217780710853,0.19371867205850304,0.2099646765308895,0.21052103957294302,0.27936540482353844,0.30244056385440776,0.301751837054008,0.31557506383222883,0.292888305824206,F
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05992329817833174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07732955277741978,0.0,0.0,0.08197841235141412,0.08385744234800838,0.11604293588627793,0.14972301242701003,0.07756748371082842,0.10976948408342481,0.0,0.0,0.08048937540244687,0.21845068055788947,0.13465746507322,0.0,0.1002171371304493,0.1537672988211174,0.24142926122646063,0.32170673890958346,0.2027712064886786,0.3065825067628494,0.1647748077627243,0.3403289846851957,0.3467539973030245,0.21149778888675258,0.40540540540540543,0.3711662434069154,0.5942622950819672,0.3089143865842895,0.604932526756631,0.48531289910600256,F
Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02840640090900483,0.0,0.0,0.02752419835772283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02642007926023778,0.0,0.0,0.05856172405715624,0.03589160734581564,0.04144218814753419,0.0,0.03663674665689687,0.030746525642602385,0.03713790542213419,0.08490508824064527,0.037476577139287946,0.08040573973280554,0.049179320095899676,0.09908347783007182,0.06366993505666624,0.12001768681700462,0.07087172218284904,0.12716685630145239,0.12400110223201985,0.1252302025782689,0.2354370775423407,0.4079119525898561,0.2402355858648481,0.3521665901087123,0.37863847913544213,0.40205853972338373,0.35702142128527714,0.4939823962636968,0.4169825625473844,F
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03399972800217598,0.04559072554383223,0.0,0.06660893891960301,0.0,0.0,0.04143728171431954,0.0642448312113071,0.0,0.05458813253998581,0.036570712084008146,0.046901870863515556,0.056070955245183,0.05525139384198101,0.05326360643036994,0.05108200984489644,0.0693721817551162,0.07783783783783783,0.032231328851643794,0.08297540023428349,0.11353080813293426,0.07541884393686366,0.15419351285863758,0.19859877530755227,0.11489222015537805,0.20896343139950507,0.24350189704966307,0.21074815595363539,0.1712642975105511,0.25833118057349524,F
