state,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06284696763381167,0.0,0.0922982258229925,0.11132476469992915,0.11211905004586689,0.05023610971566361,0.08539709649871904,0.0870995838575438,0.08304881424748548,0.1337852301105958,0.1187214611872146,0.08514664143803216,0.16912057302029446,0.28234835945867004,0.15387574533564147,0.24794964714857903,0.17327861377108983,0.24738344433872503,0.22815196905068943,0.3596752646182304,0.27694929697486154,0.2787132737196609,0.3021148036253776,0.25168896542588426,0.17631900176319001,0.14438348252959862,0.0,0.18365472910927455,0.0,0.145602795573675,0.07479431563201197,0.14411529223378705,0.0,0.08058017727639001,0.07940289026520565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05093502146547333,0.0,0.03431002538941879,0.0,0.0,0.06691449814126393,0.04616449949988459,0.0644433703882713,0.04304407713498623,0.07220868309414208,0.0,0.09065361254645997,0.14922752808988762,0.21015761821366027,0.14599793885262796,0.19923769923769924,0.21253985122210414,0.21568458286601674,0.22133310632501912,0.2653428057861851,0.1926620874518345,0.20906506104699782,0.15847860538827258,0.1498252039287498,0.1812489701763058,0.14446227929373998,0.1665080875356803,0.17995462013926922,0.13758312313689522,0.07578053955744166,0.06144393241167435,0.08404067568703252,0.06205673758865249,0.0,0.05715374357020385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036800269167683057,0.004815203201575106,0.004008429153877869,0.0035786711201240607,0.008010450557034409,0.004398697985396323,0.006878740315046306,0.009652975529707033,0.008423180592991915,0.011528789549152273,0.011491435050409095,0.01227116200234686,0.015423054381689751,0.029287767732587268,0.0477893683589579,0.06149221098660836,0.04996994561242152,0.03836522297170042,0.05694639209014614,0.048718628427319687,0.0498478906278635,0.055788824617552926,0.06435053491382146,0.07781101743571148,0.07998044922352314,0.09133954929412796,0.11520655899918718,0.12536826929104244,0.13113819399900223,0.15097063068901523,0.1874813265610995,0.20836818810932486,0.19971447071764586,0.22191778626993855,0.1910822801938706,0.1773064267394585,0.14721996838116588,0.14430134792472973,0.12787290618701624,0.12321405164503867,0.11895702677407786,0.12932311920178896,0.11265524724133155,0.12368986394114966,0.07858881008966699,0.09122820934890824,0.06835765553955941,0.07531682184842763,0.05211224524475762,0.033666906591748126,0.034293552812071325,0.03541076487252125,0.022908402560918265,0.025160714061065056,0.029345071361878083,0.012758175864366415,0.015048908954100828,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077240953153361915,0.0,0.0,0.0,0.0,0.00865064375207255,0.0,0.010362694300518135,0.013623978201634877,0.021583976056175895,0.019021977700389218,0.03235517542132065,0.029003121288291026,0.024532440544908798,0.03177629488401652,0.03922929523062299,0.0349724781802147,0.043957376502508604,0.05919279717120738,0.052182988345799264,0.062144751799924215,0.09280603538604316,0.09432293815952367,0.11368055763305111,0.14952106533759052,0.14839840234911514,0.17816939049871233,0.20997544902442178,0.19974131862014768,0.19796380090497737,0.17762873933397524,0.14429057135749232,0.14342708298987766,0.1405421880556073,0.1226907841693834,0.15469113915250113,0.16335851045143157,0.16080042880114348,0.14140980202627718,0.1037231138770608,0.10761823845935996,0.07940604279985707,0.07516913054372337,0.07003841500944458,0.06316293860126761,0.03116513067094074,0.044624927484492836,0.040869150602819974,0.025817353955922738,0.01971463072032332,0.01545674687000876,0.013424620754463686,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014445856928232984,0.01610824742268041,0.016146393972012917,0.015344483658124904,0.027585515096800076,0.025793804328200366,0.01328585853217835,0.03292000438933392,0.02245992307476347,0.032026086703351095,0.07189297324331083,0.07376523412443875,0.06767862322343614,0.09817272065110681,0.09715127393525337,0.13592672902035663,0.18579343751036792,0.1932530937447025,0.2706312385772529,0.21328127824169468,0.20533880903490762,0.220404198886772,0.22317277292170354,0.18407904128629926,0.2019446522064323,0.1678834966618514,0.09489916963226572,0.1590646995665487,0.173920077657337,0.1872354281992836,0.11558850492247598,0.11559261858564175,0.12049229709957826,0.0821730198584798,0.0905365481749738,0.06507483606147069,0.035617971810919455,0.0,0.04065247217846435,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029597839357726887,0.03322627090486211,0.03782018222451435,0.02598583771844345,0.031792458828765816,0.03544842254519674,0.03533795939347211,0.042597811127858966,0.036881810561609385,0.06425431180250255,0.08762091686527408,0.0663129973474801,0.08684777322309456,0.0810315670800451,0.12917989222706133,0.1680170257252735,0.1539349624783529,0.23447575129938647,0.26690037047364856,0.25715335319808974,0.2197086825616405,0.1593562009481694,0.21329541414859582,0.1412540218158989,0.15929274023336387,0.13134851138353765,0.18581481774333833,0.19006025314408184,0.1960223792216278,0.12232914695808188,0.14646649578908824,0.09237487403426267,0.091547146780592,0.040648570525269864,0.04773725415314111,0.0569178959351136,0.04968450340338849,0.03485882177182411,0.03545021776562342,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010420140046682227,0.0,0.011683152893527534,0.0,0.0,0.0,0.0,0.0,0.012886874718099616,0.03465921833268772,0.03771134063815969,0.024476308972606928,0.01615998384001616,0.01675497937043165,0.014778845138815581,0.0287292817679558,0.013753266400770183,0.034719811124227486,0.03808979669571014,0.04290617848970252,0.036430757274007866,0.06340409543490513,0.06082155890334051,0.08922072738371957,0.05542970067961633,0.1222676913863659,0.15388496468213925,0.1337620578778135,0.11902913626248511,0.16551153408503155,0.1128031584884377,0.09637424463429882,0.14094974500909765,0.1295919176959086,0.07593838142764157,0.12245897624295861,0.10758027143330023,0.12481278082875688,0.1154797910365686,0.11573436208321852,0.0807521485839534,0.06327397631745459,0.0479463001438389,0.07575009057076046,0.07129519606178918,0.0380057354109802,0.03188436603252205,0.039442073935960414,0.018634466308884913,0.0,0.03715477025967056,0.025846471956577927,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011016046708038043,0.0,0.0,0.0,0.0,0.010422746602184608,0.029268863782707957,0.03300778595421626,0.012854178526176617,0.022701475595913734,0.0,0.020052135552436335,0.01880245457497906,0.02779563261122596,0.021080368906455864,0.05030274802049371,0.04746178337651037,0.046141192047665855,0.04860365742522125,0.08085079917905343,0.07605687363995521,0.088660342228921,0.09709186740024967,0.12259910093992644,0.12093092129618205,0.11229932875628493,0.11704536780234599,0.12046339963092065,0.0958052822371828,0.0712551462050037,0.09142033964041334,0.08252938330629785,0.1369472182596291,0.13318663501071282,0.11382513997415862,0.09874031297687083,0.08887045649791155,0.11200647148501912,0.069856793573175,0.044111160123511246,0.04792222906825495,0.05531164655857849,0.041060735671514116,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06164753024581952,0.09189768724153775,0.0,0.11435541663490127,0.046475600309837335,0.04642884779076066,0.0845698470054586,0.1191007890427274,0.10510510510510511,0.21021488632824667,0.14784394250513347,0.19308407934000352,0.19312120654772855,0.3214807598636142,0.29856687898089174,0.19213267266659925,0.16328196754770896,0.14690451206715635,0.22326174782054006,0.12635569127092766,0.17302909051584298,0.1529051987767584,0.18446180555555555,0.16774770744799822,0.12422360248447205,0.10295126973232671,0.08670878236095628,0.10251153254741158,0.09514747859181732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009645806003549657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022971343249296502,0.019120458891013385,0.0,0.012883609472029683,0.022351363433169423,0.026436588238121558,0.024942179492993512,0.01567538516660695,0.026249015661912678,0.027341942539856137,0.037263223268812755,0.024124967330773406,0.03686528648208153,0.040845881064220865,0.054410911201392916,0.08901086674331492,0.09831704354866692,0.131674904788915,0.13007660066483598,0.12477529872052448,0.1339874224709874,0.1502814974317565,0.12088920728021671,0.1380684004436296,0.12036913200481478,0.09818696625108464,0.11334196891191708,0.11363894633968953,0.1461072844917554,0.12301264941394917,0.11397829853195952,0.11029411764705882,0.06834947795140116,0.05902316659288771,0.05792867217408825,0.061596899622718984,0.05205486582858333,0.04790036723614881,0.023583051646883107,0.045667006930639874,0.013785117587053017,0.01749271137026239,0.014908017531828618,0.0,F
