state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01537633581917429,0.042315728227235457,0.11390757214146235,0.19049174082238005,0.25929603883923646,0.38830642924502135,0.5086609843277426,0.5676494902176908,0.7671454115475572,0.8255747386182168,0.8278727824836183,0.8497184072720086,0.7978271940247836,0.6564627025532944,0.6695716866829632,0.7135429739323748,0.5627608825283243,0.5896364559334609,0.4376006275027866,0.5212371844576549,M
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03878438651411475,0.0654543384843052,0.15691868758915833,0.24031501534541666,0.29840644804036176,0.4667723886179348,0.6398672867849631,0.6564823745371955,0.7398469501158988,0.7702487190797733,0.8728691723146437,0.7225083831714316,0.8006843455945252,0.7468006381750908,0.7388994824298556,0.5844864617443049,0.6245505128884515,0.5489404641775983,0.5742970179095588,M
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05246589716684155,0.0637890708058686,0.08423712751395178,0.18384340867308316,0.4805591961555264,0.5316840277777778,0.6486244687989264,0.8582721626199887,0.5948295584534431,0.8547008547008548,0.9354177344951307,1.0873997553350552,0.7984311528225242,0.6731595531366371,0.5737825511254966,0.4751686082158185,0.4399057344854674,0.5820355513607047,0.4850164559154686,0.37593984962406013,0.48927361686112153,M
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011193445118538583,0.018107331205721916,0.03343587000133744,0.07763620587295063,0.10408956328645448,0.2250051137525853,0.2458313040654932,0.3388650342346524,0.4171605726269718,0.4733455882352941,0.6269296943128521,0.6320397422655059,0.6976627040096716,0.7237635705669482,0.7131516618515915,0.5854489328862632,0.5921966302439536,0.6769462203836029,0.5376195858950676,0.5685131195335277,0.5903574942604133,0.5258848721501449,M
Massachusetts,0.0,0.0,0.0,0.008928172849426366,0.010642017726560956,0.014032899352927418,0.0,0.01962066710268149,0.024597018841316435,0.03673646595197542,0.05365076703831,0.08035973806144955,0.16568996790846938,0.23022147662984313,0.34031219945254126,0.42933395219308423,0.488953994773933,0.5509753479044706,0.6536912468633364,0.6263922891991442,0.6605597495857116,0.6470330884892583,0.559992438920656,0.5428024868483979,0.5988166809810096,0.5560568738872765,0.5166106387186078,0.44417058204318466,0.49801324503311256,0.4238554544219535,M
Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.005318979181515484,0.015092875084897421,0.013099578630220729,0.02112636904430978,0.03652058432934927,0.08366186852480058,0.1361584215178081,0.28001105623054645,0.3502669867241464,0.5313415422854028,0.572262849842921,0.6938923995203384,0.763478832763822,0.8036670134648152,0.7734012468165555,0.687486171255176,0.6825828157349896,0.6390509274431408,0.6457699627502969,0.5915071669831454,0.5741775294847921,0.5580923389142567,0.47100493613173067,0.45583932161554236,M
Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010491858317945274,0.016983695652173912,0.014870204359094193,0.03796987723073029,0.049669589254092344,0.09074998379464576,0.2733057180680702,0.2905590008239733,0.355817171473127,0.45024469820554647,0.5525730586940407,0.6344672582117856,0.6592814077741287,0.5603335939536096,0.5763386775647071,0.5432432432432432,0.4870748299319728,0.45178635771501424,0.46676414351591494,0.44178340987037146,0.519376747902517,0.4019266962263549,0.428927680798005,M
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028653295128939826,0.05339805825242719,0.1537574476263694,0.18905424402540114,0.35370896228765003,0.40833568009011545,0.464123271140815,0.6402737047898338,0.7588444630521248,0.8767405879319237,0.7180606617647058,0.9203196899975782,0.9031248118489975,0.845206471866699,0.9251932558281089,0.835086377255052,0.934207910952097,0.7353961426391008,0.8183426717782365,M
Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012677484787018255,0.014552863275849523,0.014913687036277544,0.029834048107402575,0.053977984693385765,0.11059325381151751,0.21497741750981206,0.33731497281638156,0.33618826542864005,0.5105069452689065,0.6144733661052462,0.6458445819661919,0.8036714169649326,0.6986899563318777,0.7683605166399547,0.7216020534179238,0.5508485043104513,0.5939700759379464,0.5587308096470769,0.4812749842204923,0.46939174652845683,0.4504116820150902,0.4972999359306831,M
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08401949252226516,0.15148964820737248,0.3287310979618672,0.5845999665942877,0.5638134290107637,0.7886689200064381,0.7111412123264477,0.7265968232510984,0.6853020739404869,0.7506407909190773,0.6806579693703914,0.6549797726834907,0.5768121515093251,0.5598455598455598,0.6641922250439538,0.6762295081967213,0.529567519858782,0.5118659841786878,0.28097062579821197,M
