state,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06774412077808963,0.09227646027498385,0.08027113806635748,0.0,0.0,0.07958615200955034,0.09736150326161036,0.08655510675129832,0.05721914934197979,0.0,0.05708848715509039,0.06943755579803591,0.08221148905559553,0.0,0.05806526535826269,0.09667673716012085,0.09272751357795735,0.0,0.07219174126479931,0.14259232853272494,0.0,0.0,0.0,0.0,0.0,0.09085402786190189,0.0,0.11116404637128792,0.1027221366204417,0.1003344481605351,0.1721466689619556,0.12039903680770554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03481651695564376,0.0,0.09176254676360557,0.09172369999294433,0.03717472118959108,0.03847041624990383,0.08055421298533913,0.07747933884297521,0.1083130246412131,0.09197939661515821,0.0,0.04389044943820224,0.0,0.0,0.0,0.044279135671271695,0.0,0.05958968247212054,0.05135667208764872,0.050259674987435075,0.09198862686067905,0.06672783384769372,0.0749126019643749,0.08238589553468446,0.06420545746388442,0.0872185220424992,0.10953759486738127,0.1070090957731407,0.07578053955744166,0.09984639016897082,0.10084881082443903,0.07092198581560284,0.07565011820330969,0.0,0.08705745792222867,0.047609979051609214,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0030809425219363107,0.0037703125589111336,0.0,0.004223176794246827,0.0032396848434584286,0.004323296080932103,0.004596574020163638,0.0,0.004626916314506925,0.012331691676878849,0.058243292687479936,0.07743463605721053,0.08473164690801908,0.0823108420120118,0.09396154694874113,0.13182687692098266,0.12095444049408056,0.1277270458349238,0.0950632902135999,0.10651799474209046,0.109602837824828,0.10595387718118844,0.09824363006679154,0.10447355774253536,0.07768512579288718,0.06996199958759242,0.0761876307140723,0.05095134526760864,0.062410772099264336,0.06088719045673404,0.08118946669181627,0.07174725175038553,0.07862884674903177,0.1050980915521153,0.12109818268041936,0.10661073972123913,0.08396966595817261,0.09519618496798354,0.09695738492081814,0.09392989667711366,0.07385454442161477,0.0942030422624596,0.08700065250489379,0.08732385141846681,0.0725039933840106,0.052241751607885016,0.04493637954685209,0.05311614730878188,0.0325540457444628,0.03145089257633132,0.03334667200213418,0.029769077016854967,0.019563581640331076,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030217566478646256,0.038043955400778436,0.056269870297948964,0.05386293953539762,0.044735626876010154,0.10255076985296242,0.07845859046124598,0.062342243712556644,0.08488320979794764,0.07165443868093525,0.06957731779439903,0.07123910572186434,0.06885609077029009,0.06484701998467253,0.05833607562748676,0.06853048827972899,0.04262507301517137,0.050211373686000746,0.043610285566610674,0.03601892630855122,0.059888208677136005,0.0498024502805538,0.07463305415042706,0.10221240396979787,0.10667660057232843,0.108668980264311,0.09038133972955122,0.10890567363428773,0.09290691441843846,0.09665986467618945,0.11100192888597736,0.10761823845935996,0.13300512168976059,0.11484172721957739,0.06367128637222234,0.05880687387014571,0.044521615244201056,0.06470614485251462,0.04541016733646664,0.06336986880090126,0.03450060376056581,0.020608995826678345,0.01879446905624916,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03221649484536082,0.045748116254036596,0.05370569280343716,0.03260106329621828,0.06964327168614098,0.09565818143168411,0.06309667507955667,0.08141722114601757,0.08152094797216641,0.09064766191547886,0.06735086593970493,0.06767862322343614,0.06650410108623366,0.08148171362311574,0.05501796174633483,0.06967253906638797,0.04407526699440583,0.03866160551103613,0.021689621516104544,0.025217046723585143,0.05229930143075946,0.055793193230425885,0.07137758743754462,0.07479431563201197,0.08589388201304025,0.12257809410834322,0.08350896727243806,0.10516097718815726,0.04884402474763921,0.1076168838933397,0.08256615613260125,0.12049229709957826,0.1460853686372974,0.10959687410654721,0.10512088902237572,0.05088281687274207,0.04607587160190447,0.06097870826769653,0.031117104034851153,0.032263268269075655,0.0,0.02977963073257892,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018498649598579303,0.0,0.027505587072374073,0.022737608003638016,0.03815095059451898,0.06122909348715801,0.0481881264456438,0.042597811127858966,0.040234702430846606,0.07439972945552925,0.0665918968176083,0.08027362836800224,0.0590564857917043,0.04932356257046223,0.040599394699933566,0.04853825187619012,0.05002886280546469,0.03517136269490797,0.05577022666613552,0.02857259479978775,0.06509886890715275,0.03983905023704235,0.10269779199747206,0.11771168484658245,0.1433634662100275,0.16717083266995703,0.07907013520993121,0.10513971450523676,0.11026258831216564,0.10194095579840158,0.12612392692949265,0.12176687940880081,0.1569379659095863,0.1309787272480918,0.06683215581439755,0.08537684390267039,0.044716053063049634,0.05477814849858075,0.050643168236604884,0.03125162768894213,0.02789089083505327,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03873677343065098,0.03352119167836416,0.04487323311644604,0.04645995354004646,0.05445368295390286,0.09289559801541222,0.0574585635359116,0.07335075413744097,0.06018100594866097,0.06665714421749273,0.06674294431731503,0.060717928790013115,0.04696599661844825,0.04210723308692804,0.03991453593482191,0.0385597917771244,0.05739095718135542,0.047931382441977796,0.028295819935691316,0.03363866894374579,0.04137788352125789,0.05383787109675435,0.07032715148989373,0.0691935111862843,0.08992092248287537,0.05695378607073118,0.07347538574577515,0.04965243296921549,0.0582459643867532,0.07423700852350838,0.05786718104160926,0.0807521485839534,0.11750881316098707,0.060731980182195944,0.04940223298093074,0.0814802240706162,0.04491586912206751,0.035427073369468945,0.043027717021047726,0.0,0.0,0.024769846839780375,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011707545513083183,0.01941634467895074,0.016526800962227077,0.02794027765650921,0.031033412640943413,0.060156406657309,0.04615147941131224,0.031270086687629206,0.02810715854194115,0.03912435957149511,0.049439357683864975,0.0501534696170281,0.06277972417424411,0.04975433795634057,0.03591574588553441,0.03324762833584538,0.027740533542928478,0.02884684727998269,0.03208371381327278,0.03317934713253873,0.05088929034884609,0.04869797006356367,0.05178663904712584,0.07917238467222633,0.10527190625259718,0.11667947295028316,0.08559201141226819,0.06659331750535641,0.08921429889866486,0.07779539810298913,0.08590810794798115,0.13067421673252233,0.1016098815609818,0.10179498490041057,0.0684603272403642,0.08642444774777888,0.058169375534645,0.06789096710682643,0.0715064015254699,0.05985704728706736,0.05299216472992922,0.05247225025227044,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07183908045977011,0.06481931615621456,0.09369144284821987,0.0,0.0772141147401745,0.14641288433382138,0.09189768724153775,0.13666388277275834,0.13722649996188152,0.18590240123934934,0.10833397817844154,0.16145152610133007,0.19353878219443205,0.15015015015015015,0.07785736530675802,0.13141683778234084,0.09654203967000176,0.07356998344675372,0.04870920603994155,0.09952229299363058,0.11123470522803114,0.1326665986325135,0.19937040923399793,0.2551562832234744,0.24218174160261136,0.2162863631448037,0.1419833988641328,0.20616319444444445,0.156564526951465,0.16939582156973462,0.1601464195836193,0.19819150253932863,0.12813941568426446,0.20388745412532283,0.18209833309987392,0.14322543683758235,0.0,0.09196811771919068,0.09426551453260015,0.07865345288658172,0.10393209769617184,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01638896476372576,0.030003818667830452,0.03349738462727718,0.039735757214523416,0.057679828883174314,0.06122171330098408,0.058222859190254383,0.0503106133519993,0.08412905396878813,0.047614118621260734,0.08242697171347581,0.05432779060517278,0.09283154787322924,0.10156703424260012,0.09086525980046731,0.07325583636959497,0.06482456851146584,0.05987653046476576,0.07401924500370095,0.0669937112354937,0.10542134894466501,0.09178624997201638,0.09959032163147054,0.1359725380054389,0.12558798008859662,0.10408956328645448,0.11136616741289575,0.10436234606553955,0.10444470233259835,0.10030090270812438,0.06893382352941177,0.0872045063517877,0.09591264571344253,0.09570824098327624,0.06416343710699896,0.06246583899429999,0.05322263026238756,0.028823729790634904,0.02954923977864933,0.027570235174106034,0.03206997084548105,0.026834431557291514,0.018894067262879455,F
