state,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06781500067815001,0.0,0.0,0.0,0.12060907583295642,0.08736167734420501,0.19446522064323113,0.2722177742193755,0.24227740763173833,0.273972602739726,0.38113387327298714,0.2910460537579182,0.28428093645484953,0.22379066965054228,0.2235982112143103,0.27187765505522515,0.227312467214548,0.12580877066858376,0.22413149047441167,0.2268041237113402,0.33200531208499334,0.16401124648547327,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06901906651712536,0.0,0.12839168021912178,0.12564918746858772,0.1839772537213581,0.233547418466928,0.1831196936906942,0.15653320151590047,0.27287319422150885,0.37266095781795117,0.26601987324935455,0.3363143010012994,0.2349196726280691,0.2380952380952381,0.3025464324733171,0.2925531914893617,0.2742316784869976,0.2190893503524481,0.15476881408396206,0.2475718910683679,0.24594195769798327,0.3015075376884422,0.3651157938660547,0.23367085790586403,0.1773049645390071,F
Illinois,0.0,0.0,0.0,0.0,0.0,0.003734687780101583,0.0038023391990752707,0.007801346512408042,0.014420650371331747,0.017222008086142843,0.015668940037440522,0.030949652443767826,0.03503269718403843,0.05673830936774892,0.055926945427535284,0.06822535359101525,0.08352118115115538,0.06648506394570387,0.09299989770011254,0.07953566322327743,0.10213593003192989,0.09321498482667193,0.1091548142730835,0.08836424193676291,0.08939144164015882,0.10997587625940115,0.08380547686496695,0.10248495882516068,0.11196517757173947,0.11738028544751233,0.11765873297137916,0.12039127163280662,F
Indiana,0.0,0.0,0.0,0.0,0.00778755548633284,0.0,0.0,0.01615195761726321,0.02128391100050754,0.03160766569071067,0.03984196022444304,0.049755369433618045,0.06924066075373406,0.06095805746990196,0.09990535282364077,0.1025480585392985,0.11768838924995609,0.15901375737001963,0.1288798195682526,0.10554281762928995,0.14915510242613045,0.16476753880970343,0.1920988891672931,0.1719124732050003,0.18948881580380283,0.16472997640354392,0.1740372171895221,0.1271484685421066,0.19715070293613726,0.19221764952315235,0.16229584213509196,0.17452006980802792,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.027123241227326667,0.01757345705047097,0.03614936919350758,0.09006088115566123,0.05229930143075946,0.1004277478147666,0.10518802359217101,0.08975317875841436,0.19521336821145513,0.166073546856465,0.19087763947985842,0.173920077657337,0.19537609899055683,0.16341823109729364,0.23944185278454364,0.284017557449006,0.22825838849577723,0.2954350519393882,0.2152475346648646,0.22388439424006512,0.19966211027491937,0.15752832969154937,0.17114407219168137,0.2258428778835296,0.22776449151577272,0.22632519356759975,0.1676810334119985,F
Kansas,0.0,0.0,0.0,0.01845427031815162,0.0,0.0,0.0,0.0,0.02857259479978775,0.07323622752054683,0.05975857535556352,0.07504838645969111,0.0784744565643883,0.1274341921866911,0.1154274797006846,0.1700007907013521,0.21027942901047353,0.20827377792297955,0.14679497634969826,0.22783677122747062,0.2729257641921397,0.24412572474824534,0.24840793098776023,0.20049646744319266,0.1992126357728976,0.20370646395389277,0.18923360390418803,0.21270130659374048,0.24480441689671337,0.1952362358453729,0.27411641199113496,0.14666340747983378,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015516706320471706,0.0,0.01823296520108356,0.01793905845570334,0.021157864113617728,0.07593838142764157,0.07619669632895201,0.10758027143330023,0.1525489543462584,0.14847401704701677,0.15706806282722513,0.207648382073023,0.2048871614089005,0.21735656065206965,0.26347857589829726,0.2546257002206756,0.2936806827212107,0.32238636766216744,0.17928215425436553,0.2534287418008348,0.23819750868835174,0.26834000743095404,0.27138795554406825,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020714655618850338,0.0237517154016679,0.022162506579494142,0.05122513446597797,0.11126961483594865,0.12160518848804217,0.1445886913185258,0.14362227342090303,0.20736439849512694,0.20845648859711893,0.2508493951036738,0.2307352991075973,0.31149448894365717,0.2800152107028036,0.22241231822070143,0.23082928816320988,0.18727867066194498,0.3063272419985212,0.21575381354328327,0.2058526740665994,0.22971880716382356,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808979674385681,0.0,0.08394543546694648,0.0956836062088029,0.12635569127092766,0.10814318157240185,0.18567059851463522,0.15190972222222224,0.21248042943413106,0.20327498588368154,0.20590253946465342,0.14864362690449648,0.14095335725269093,0.2310724480086992,0.18209833309987392,0.14322543683758235,0.25011034279829336,0.18393623543838136,0.20424194815396698,0.12584552461853074,0.2425082279577343,0.1611170784103115,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027160996808582874,0.017832464000713297,0.02740101383751199,0.030070318282753517,0.05909225209663856,0.05334075465572021,0.05802483462922131,0.07294611106045408,0.0896139705882353,0.09663202055198096,0.11558703457773842,0.09570824098327624,0.15399224905679748,0.13534265115431665,0.10910639203789452,0.11267458009066374,0.08596142481061624,0.09373879959196052,0.11370262390670555,0.1639881928501148,0.14485451568207583,F
Massachusetts,0.0,0.0,0.0,0.0,0.0,0.010416201657664092,0.0,0.0,0.0,0.016350555918901243,0.01475821130478986,0.020038072337441138,0.030178556459049377,0.029066288234992393,0.047090832984512346,0.042831902628808025,0.053636161870237474,0.07929140558520925,0.0534484123841951,0.06684627382664533,0.054825717478860475,0.09925229934493482,0.08055606702264775,0.0851965276658454,0.09451349180095459,0.0860832137733142,0.12405763908769919,0.11218691315269613,0.11370377694285148,0.09242856042517138,0.09536423841059602,0.11683195218041026,F
Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015607766424572867,0.021275916726061935,0.034498000194051255,0.039298735890662184,0.05893145049202202,0.05422753430721558,0.07563949757036766,0.0991328858419129,0.11777289060340579,0.09552736001567629,0.14710171576397785,0.15512364266812667,0.12530484107843007,0.15441144932302017,0.14475053150585787,0.18905363811071357,0.16278408192938648,0.18115942028985507,0.17860654125974962,0.182181954226784,0.18484598968223295,0.2138078488171598,0.1902587519025875,0.2562266852556615,0.20502816649083347,F
Minnesota,0.0,0.0,0.0,0.0,0.0,0.0158193431017777,0.0,0.022953008930807112,0.01683147485798443,0.033573946617424875,0.04033627717391304,0.0467349279857246,0.059064253470024884,0.0647864207662074,0.08858926989477324,0.08113763505145835,0.14527950041198665,0.09444529860089174,0.11528004350190321,0.0965879736741616,0.15920211645166576,0.12499387284937012,0.16158457127964557,0.09692968668133711,0.11621621621621622,0.11156462585034013,0.14689985864353225,0.16308626701158474,0.13369761088182294,0.18132087648667752,0.14992503748125938,0.1396508728179551,F
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02231843949471053,0.04095190426354826,0.045296009421569965,0.0,0.03398058252427184,0.09129348452815683,0.10664598380920065,0.09963632740497186,0.11264432554210081,0.09746588693957114,0.18572825024437928,0.13083525225036635,0.2349435562431952,0.2182904411764706,0.17558730927585373,0.29502077187067255,0.21130161796667474,0.28607949357842843,0.2549882067954357,0.2650235208374743,0.2775079783543777,0.26540843409023884,F
