state,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05325948018747337,0.05806526535826269,0.060422960725075525,0.14571466419393297,0.06781500067815001,0.11550678602367889,0.0,0.09182736455463728,0.18091361374943465,0.20384391380314504,0.14958863126402394,0.32025620496397117,0.3179890975166566,0.19339242546333602,0.39701445132602825,0.5307310392056155,0.68561872909699,1.0156653468755379,0.9631922944616443,1.461342395921835,1.346389228886169,1.3479511143062546,1.3074336944340679,1.6082474226804124,1.7928286852589643,1.7338331771321465,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042564058908657526,0.04279722673970727,0.05863628748534093,0.10035122930255895,0.12511468846442572,0.1498252039287498,0.11534025374855825,0.1765650080256822,0.1506501744370441,0.14865816446287458,0.1758006573415883,0.22734161867232497,0.29185867895545314,0.42020337843516264,0.6471631205673759,0.8226950354609929,1.2383311106877501,1.0640355968272392,1.1140735098076555,1.0919822921790456,1.0954773869346734,1.0431879824744419,1.357516412595972,1.3187056737588652,M
Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004313319530710835,0.0037703125589111336,0.0031267001432028667,0.0,0.0,0.0,0.004596574020163638,0.0,0.0,0.0,0.00522696216426102,0.006073304788800826,0.004345212661949697,0.003487747542881856,0.0035591495056341337,0.003582252090244095,0.0036652860755781985,0.004404380890859441,0.0,0.004532680627322999,0.005183918005228352,0.008768596732236286,0.009188253171714317,0.00487543269465165,0.007839783336896871,0.008837305211064307,0.019420376456528235,0.027376842233341952,0.04914848302817066,0.08011472428517638,0.08939042292331287,0.09731236444305165,0.12128917849584689,0.10926865074069132,0.12109818268041936,0.1441866561803644,0.13907475924322338,0.14997889518540802,0.1911445588438986,0.2045997749402476,0.2405006959370532,0.2776510719314599,0.3935743803792814,0.5086614345125692,0.677459188181849,0.766212356915647,0.8585213566056478,0.7908404154863078,0.8596679487334065,0.8378517782334662,0.8843537414965987,1.0093134683809875,0.9556057185854027,M
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008098608659032377,0.01292156609381057,0.03601892630855122,0.03493478839499601,0.0415020419004615,0.07131602952151919,0.07253783507534044,0.07619757183737745,0.108668980264311,0.07995272360691069,0.1159318461268224,0.16080042880114348,0.15572978197830523,0.2147250427630382,0.25299726234305675,0.4129114225592568,0.6514657980456027,0.8340938514761127,1.089016182780476,1.1419794310137572,1.066535766879379,0.9240969052970961,0.9763653859694417,0.9463022745755193,1.033025915812252,1.1222982950731641,M
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253045584354553,0.04683165820094384,0.029885315103291118,0.04091500836897898,0.05635072692437732,0.07105459985041138,0.08979814937726936,0.10676156583629894,0.0914622022507655,0.10111632421938198,0.0936177140996418,0.1713898521264299,0.14861908103868224,0.3098373353989156,0.3789089249029902,0.5813399409129896,0.7408519797767432,1.0176563374548415,1.1160600010239081,1.1179429849077696,1.1098433772430245,0.81733612948325,1.0249402118209772,1.042287075640262,1.1675568252391009,M
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02390152571405808,0.04489979182823789,0.04882415168036455,0.02788733516592964,0.06319864122921358,0.06277956525151063,0.05575245908167736,0.0955261900971183,0.08697714873092433,0.10109587933195842,0.13884918528198634,0.19980427336486706,0.19528866105211767,0.22253946926436008,0.40106369065783165,0.5464974481730726,0.6540003818980332,0.9391452829293745,0.9539424653450588,0.9660873462476969,0.9166413450825482,0.8490025522162613,0.8478830813856194,1.0498075352851977,1.246638963578587,M
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012937949593748384,0.020688941760628944,0.0333282059170384,0.01823296520108356,0.03075267163834858,0.06082885932665097,0.05152961596875678,0.0517049010803603,0.05516936996579499,0.08598213790425473,0.10723123453395655,0.11022320198401765,0.14996827594162773,0.3163698815872729,0.466677321400032,0.5533050093864244,0.8453573247326431,0.8153957779083025,0.8644205902150424,0.8533830542507799,0.9540846750149076,1.0426022101604906,1.0940015687569664,1.1889377100025846,M
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01786580230213624,0.03053357420930765,0.030756612671724422,0.04660797514241326,0.0475034308033358,0.03878438651411475,0.07399186089530152,0.07417974322396577,0.07527940239735943,0.0799852334953547,0.0658268753179139,0.10368219924756347,0.14311938023085777,0.30165433588416474,0.3359234501713549,0.568220716095023,0.7951049192795658,0.8588537211291704,0.9301062493635222,0.9057477526559521,0.9894017816274074,0.9689995836329914,1.0454086781029264,1.1996426596333007,M
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03892868265337901,0.04106776180698152,0.0,0.0,0.1071602532878714,0.2289012738853503,0.22246941045606228,0.14287172160424533,0.2098635886673662,0.2338932596215182,0.2948299462988312,0.3785011355034065,0.382262996941896,0.4448784722222222,0.3578617758890628,0.4517221908526256,0.4804392587508579,0.5945745076179859,0.743208610968734,1.0602147614516788,1.0365597422608208,1.4179318246920654,1.3829630719435044,1.5787860208461064,1.225451688923802,1.1955324838760422,1.073965009527109,1.288936627282492,1.2420022581859238,M
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014491253493427182,0.0,0.0,0.016709678617181263,0.0,0.0,0.021205636843830124,0.02430921319179969,0.018582371523547993,0.048641218145289204,0.09508784820521686,0.10542134894466501,0.10297969509055498,0.1312781512414839,0.16049217600641968,0.16440608302507193,0.20586602516654331,0.17954953521670947,0.19017138616387208,0.23674132528722294,0.22567703109327986,0.2665441176470588,0.3252492399066676,0.4475923466627318,0.57676808382027,0.6980981957241486,0.8094531636344708,0.8568843472244397,0.8411288420721641,0.7790254123462096,0.7885087259794326,0.9941690962099126,1.0733772622916604,1.2407104169290841,M
