state,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928172849426366,0.009121729479909392,0.012473688313713262,0.009575792396820836,0.0,0.0,0.0,0.015089278229524689,0.020517379930582863,0.0191851541788754,0.03747791480020703,0.04993711622401421,0.05608416492612362,0.07126454984559348,0.09115400976360727,0.14339033802163506,0.17424292551666337,0.19563616276928744,0.24177392986253426,0.2339208922073626,0.23912003825920614,0.2314152113751312,0.2219349803672902,0.2372948388372553,0.26188092120465223,0.28344370860927154,0.328759679391387,F
Michigan,0.0,0.005937537109606935,0.0,0.004586104104563174,0.0,0.0,0.0,0.0,0.004396454698930782,0.006074965068950854,0.004429914325456946,0.005387011914274684,0.0,0.0,0.0,0.00739658647534163,0.0,0.0,0.004376444226594776,0.0,0.0,0.0,0.008812298051502987,0.0,0.0,0.00638277501781858,0.009702562554576914,0.01091631552518394,0.010007227442041475,0.03541389995573263,0.03552764279820299,0.05732986169170867,0.07811467233899363,0.06980845539607114,0.08623204027543528,0.15382008264570543,0.18054676026354438,0.2530632086127275,0.2698994285369642,0.33904660719028795,0.33979201567784556,0.3849637681159421,0.3916235170741299,0.34159116417522,0.36128988892436437,0.38968204703772674,0.36964557512502716,0.3918761068615999,0.41204689770487885,F
Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010621574542210138,0.01687550099143568,0.03455275774197728,0.03241070849808777,0.04697442029294956,0.06938722407736675,0.0746776779634958,0.09787928221859706,0.16172870010557291,0.15920211645166576,0.2254791431792559,0.20589001824341935,0.27507073247406477,0.2243243243243243,0.2612244897959184,0.3575487125474653,0.3064897086941851,0.2964599197814335,0.26122499154860324,0.31898944144948804,0.40565253532834583,F
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03318813524165111,0.0,0.0,0.0,0.0,0.0,0.0,0.036236807537255965,0.05730659025787965,0.08737864077669903,0.10090332500480492,0.19390178874400116,0.17436357295870075,0.22998216464845583,0.29239766081871343,0.27859237536656895,0.39250575675109906,0.46415678184631254,0.5227481617647058,0.4298861709857108,0.4636040700824854,0.4226032359333495,0.377381459614097,0.38885701536303946,0.5101702776121381,0.5133897599555988,0.5013270421704512,F
Missouri,0.0,0.0,0.0,0.0,0.010532783287983849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008354777261638205,0.010214504596527068,0.0,0.0,0.0,0.009055346276441611,0.0,0.014913687036277544,0.016781652060413946,0.03470013301717657,0.02567343392053085,0.04141766759363351,0.08333664034287075,0.10005603137757144,0.10091416359966758,0.1511000080586671,0.1993603854300785,0.2481280604290639,0.3401516892668352,0.27340435561421705,0.3438506429038429,0.30877158313366104,0.34334979073206184,0.3613809365148525,0.3103303176940879,0.32410382498393453,0.3557391628654216,0.38746682124660586,F
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085426277122843,0.08047642040882022,0.18625126989502203,0.21966880702940184,0.2885482416591524,0.2380080556572684,0.3592361505010399,0.1541128876902331,0.38454143433955007,0.34749034749034746,0.19535065442469235,0.3483606557377049,0.2868490732568403,0.2791996277338297,0.30651340996168586,F
Nebraska,0.0,0.0,0.0,0.026106934001670842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030323245800230457,0.05621486570893192,0.04948045522018803,0.07376898014384951,0.08050532573693336,0.10187189609066599,0.10738424609942519,0.19972939887893823,0.16732481092296367,0.24111325434003858,0.20626151012891344,0.2886002886002886,0.35403678904025243,0.2712337259764414,0.24498545398866944,0.36286187583813206,0.2733998070119009,0.16150969058143488,0.40416741512484283,0.35064442759666414,F
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029202196005139586,0.0,0.0,0.0,0.06253582781802074,0.05097359567743908,0.04520568587071174,0.058105752469494475,0.11609547692021918,0.16475893166840097,0.17297297297297298,0.20259692421033243,0.25380710659898476,0.23222210754463823,0.21548241124818185,0.23679718046147913,0.24273183648700833,0.3720319509793194,0.2804509210888094,0.2491647318647715,0.32197634937360964,0.3669949232368952,0.3616636528028933,F
New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07936507936507936,0.08185219831618336,0.0864945014209811,0.1923570146191331,0.23495627202715053,0.20718232044198895,0.17891549683457197,0.24478041756659466,0.3634777551613841,0.25449101796407186,0.4418494555783494,0.3924133420536298,0.33467202141900937,F
New Jersey,0.0,0.0,0.0,0.0,0.010082387509362217,0.0,0.0,0.0,0.0,0.006979341150195422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006634746165669611,0.0,0.0,0.006022282445046673,0.0,0.010015022533800702,0.012817719215042874,0.0,0.006587615283267457,0.01207437816952427,0.024170482469686186,0.03419832291424428,0.023382482394366196,0.05922946597060565,0.07212048363147847,0.07567929443611648,0.12063613493593045,0.12433339325304094,0.20313681027966743,0.17808129656254085,0.22760721497758155,0.24806093215009434,0.23732470334412084,0.28993385883845246,0.27702837277517245,0.33587842302327287,0.3261873786224711,0.35352161920671304,0.3865278924164033,0.393750526404447,F
New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037274026216065105,0.06889208993549195,0.06855718292302898,0.10104199557941271,0.11882426516572858,0.12583364791745313,0.16082142636234306,0.21595606836552106,0.3251514185527574,0.23251042877658482,0.3114362280002897,0.33993050309714457,0.20737327188940094,0.30223819637314164,0.4322886357968243,0.4214691209358335,0.48924582294839847,0.4114017043784896,0.45368221143701204,0.4970727935490997,F
