state,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1042555208037153,0.08404146045382388,0.04285591840233136,0.0,0.05850396991224405,0.0747881003822503,0.03972036860502066,0.0,0.057755775577557754,0.06510946528851633,0.05616625210623445,0.07082710317148029,0.08466097129223428,0.08064516129032258,0.04959907415061585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040160642570281124,0.0,0.0,0.03848818412747287,0.06865512243496835,0.05305039787798408,0.0,0.0,0.05492349941153393,0.038601096271134096,0.0,0.04799616030717543,0.05796621397813846,0.06362479549172878,0.0,0.0,0.0,0.0,0.0,0.052977325704598434,0.0,0.0,0.0500600720865038,0.0,0.0,0.0,0.0,0.045021385157950025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072366040590770035,0.0,0.017864953273906695,0.04125363211326214,0.03419750829879188,0.03571548154514102,0.0326582154462473,0.030955380805491595,0.02841422777878232,0.03734454692879469,0.03455066855543655,0.04349052050028436,0.061808941693565,0.0525410084981466,0.05292880832487606,0.06951154581846147,0.05810989907228056,0.05993186693022669,0.045476919125987114,0.060699070044436296,0.051294286055111535,0.0585379079167899,0.06409531350148927,0.04877652223396472,0.04464501182489502,0.04470765083972631,0.04467405950296506,0.04290135752152729,0.03067790500586715,0.034701872358801934,0.04084872867966119,0.022401266418261512,0.01670158816920227,0.026795478082023132,0.01185834164579831,0.013524768121409708,0.02507576463170866,0.011728915441850236,0.010276888745338697,0.012431353335624602,0.012087148339527997,0.010367836010456703,0.015345044281413499,0.014842562815846203,0.013233317314054478,0.009977906065141472,0.011046631513830382,0.008216313116223483,0.0053232748787053795,0.008581481163648846,0.005608030699962346,0.009021051854646252,0.005772767382214929,0.0,0.0041705591885760045,0.0042342021916230545,0.0,0.004373420101988157,0.00538846330007454,0.013851054988688305,0.018599979540022505,0.020830768939429804,0.013882553596572991,0.013464386697185943,0.014190125855500856,0.011328748966251656,0.01160927813508556,0.020103117165696988,0.0,0.008439937785601466,0.008806249921372768,0.01067093504068294,0.01559332605644784,0.010534236267870579,F
Indiana,0.010696102340307191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012142307847978307,0.007161357315923278,0.016074586079408457,0.0688131541776828,0.06755045174364604,0.04800392962400643,0.05198968871173884,0.049507081665159935,0.0218868553799975,0.06271492928891723,0.06719149576292434,0.06606713209482112,0.08353708231458842,0.07681356834871311,0.08212119034665406,0.08579254741847124,0.06959985437568932,0.06998130187090637,0.06503885796174834,0.05957345406886692,0.05874433973809815,0.057753393011839446,0.06050541330346683,0.06272659984192896,0.05489522172896081,0.04251328540168803,0.049703161673339775,0.037486122925647715,0.03503291634431518,0.0384900074019245,0.024220405691795337,0.031656498215724645,0.029264581077521872,0.022507948119179586,0.022097616219650305,0.01731701685522974,0.0187769015223734,0.013579371425984883,0.0,0.009094629621208676,0.009346231132295902,0.014231724094308892,0.01667298219022357,0.0,0.007368979543712787,0.01495796810961199,0.0,0.00789353203984655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008933357155619081,0.012529982458024558,0.01273792626560396,0.01321627489851789,0.009925755349982133,0.01044015701996158,0.0,0.010890161827804761,0.013356484573260316,0.0,0.0,0.0,0.0,0.0,0.0,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027645183287565194,0.02185911798458932,0.022416498542927595,0.01773584236383307,0.02542634532609288,0.01991310644460536,0.041118421052631575,0.01805706031058144,0.017927251214571272,0.04443292479727478,0.032532668221005256,0.03074085459575776,0.021993731786440863,0.038122831763943425,0.028079746480003206,0.02728913892270876,0.041030316845224526,0.02861912711662294,0.0246633453361614,0.03268631197827617,0.025028783100565652,0.014671720259200393,0.03186573901959743,0.03525367960280854,0.040470705435527055,0.026973565905412698,0.017454037700721434,0.023113371085172772,0.01610824742268041,0.01883745963401507,0.017901897601145723,0.02256996689738188,0.0,0.0,0.013716668495555799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028456788366864917,0.05284530233075597,0.052606805659384775,0.07181512734360973,0.05603059757850374,0.05675503109702746,0.06412458490782091,0.060119777094364925,0.07508532423208192,0.04876010030649206,0.12093653250773995,0.07330511480526851,0.07847561125144077,0.0832408435072142,0.10861694424330195,0.0606963527009877,0.05880104665863052,0.062233868326236494,0.028517449114176734,0.04073772313161988,0.04419889502762431,0.05275374551593163,0.05516860906144403,0.05170821791320407,0.05254648342764754,0.037645877776383486,0.05345614540071549,0.0,0.03816211265455655,0.025898109438011026,0.04060988666149814,0.041258380608561115,0.0,0.01907547529725949,0.01611291933872579,0.0,0.022937282915000985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01924187030979411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.01152516327314637,0.0,0.0,0.0,0.0,0.0162683629146399,0.016009081515332334,0.024151672503320853,0.07160049968008288,0.09674447174447175,0.08739151398264225,0.09475486000733586,0.0931619154089808,0.08355839388830033,0.10731722063513657,0.08825588118932408,0.08045418665371304,0.10697840276593436,0.12361512431045937,0.12656025058929615,0.13101919997411965,0.1301482701812191,0.12356754743808927,0.12987012987012986,0.10207167699984877,0.06447323353414058,0.059723623782358876,0.09378126042014005,0.09424105222183524,0.08178207025469274,0.07799703611262772,0.06196978438788812,0.08133655748516158,0.07285572358980019,0.07842624665054572,0.04725187396636525,0.057085771371485655,0.04818671303764849,0.050992310359597774,0.03837996162003838,0.018849351791735604,0.023223899503853056,0.02430939226519337,0.02521432173474534,0.013887924449690992,0.016664286054373183,0.0,0.02185845436440472,0.0187863986473793,0.014035744362309347,0.011739569392594679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008321129010784183,0.08344700312926262,0.09333523167702847,0.08307404162764703,0.09576967393418828,0.08295194508009153,0.0876546129979269,0.11166945840312675,0.11797511797511798,0.13338615953512942,0.15532940546331012,0.1675985144067683,0.18461790930474262,0.20254791305805445,0.17290984594016187,0.1906074512851341,0.13769464016288982,0.11784565404337993,0.12265871042599037,0.13593189811904235,0.12159110647906896,0.1284633011596417,0.09684292078249081,0.11934050600374546,0.09575295736998543,0.07993605115907274,0.08347066755131306,0.0906771261677316,0.03126823980655382,0.05073269722336046,0.05048249616527192,0.038562535578529844,0.024447742949445562,0.029309334160891,0.028407192032618142,0.02222108267952071,0.017372270382016226,0.01756697408871322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01618197790004161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11534025374855825,0.14735887553842666,0.11279679657097738,0.0823768466143116,0.08669267446900737,0.06797385620915032,0.06318117201074079,0.11368334022323273,0.11094301563287948,0.07628152969894224,0.13123359580052493,0.06908121977696635,0.11812186238803032,0.05518210093307917,0.09010441511634071,0.12591700427022884,0.07046388725778038,0.09601843553962361,0.07987220447284345,0.04942804688603305,0.06989585517578807,0.08890712624811928,0.08866457509207475,0.08947878607113563,0.0,0.07551602617888907,0.0,0.0,0.05587484035759897,0.0,0.0,0.0388621172081455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01779913674186802,0.026908846283215607,0.05482335913686103,0.08482449408248172,0.046289152908501774,0.048936570675701105,0.04280592862111402,0.042277339346110485,0.05637363763709044,0.04136812668575116,0.07743977374118281,0.05963424330771269,0.06509221396979054,0.08662768420877272,0.0723451899061235,0.06897015779026343,0.06544722268837053,0.05320941451907558,0.04983664654742788,0.07330812562697739,0.06586300494970461,0.04357643703204849,0.05576578370842461,0.06404235334301084,0.05564426380219674,0.07962840079628401,0.05184033177812338,0.02250351617440225,0.04019985068626888,0.01638896476372576,0.024548578910043098,0.025767218944059367,0.019867878607261708,0.024033262034655962,0.018139766903995283,0.02687208885704049,0.010937089859130283,0.010516131746098516,0.014491253493427182,0.0,0.011641669415394167,0.0,0.0,0.00927196528576197,0.0,0.0,0.0,0.0,0.0,0.0,0.011193445118538583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01838235294117647,0.01178439275024158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01749271137026239,0.0,0.0,F
