state,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040277106492669565,0.0,0.05415651232060655,0.11037527593818984,0.16317650258362795,0.15800561797752807,0.17513134851138354,0.12023359670216421,0.16458766458766458,0.17711654268508678,0.14666551634889138,0.1617434238528986,0.1626294616108876,0.11727257497068186,0.0669008195350393,0.116773709233464,0.09988346928583319,0.0,0.0,0.06343165239454487,0.03912056959549331,0.04586104104563173,0.03789026977872083,0.0,0.0,0.05319148936170213,0.05673758865248227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.0,0.0,0.003487747542881856,0.0035591495056341337,0.005731603344390552,0.008796686581387677,0.02202190445429721,0.038025316085439964,0.04608225304445049,0.08442380751371886,0.11253032473036566,0.10177757359437396,0.12258230775124149,0.12828736369467605,0.10531122043184965,0.11726919629518973,0.09657941565651189,0.12482154419852867,0.10655258329928458,0.08200956231496592,0.09483832127924526,0.07026407581828371,0.07006539436807686,0.06690039462764426,0.0541792283829248,0.045483569060676826,0.03502501145048451,0.03231912830693938,0.042779952942051766,0.031246153409144706,0.03173155107788113,0.03521454982340939,0.012007029570039187,0.02379037282912848,0.013931133762102671,0.0082777541270517,0.012983947119924458,0.009645643183544533,0.010064285624426022,0.0,0.0,0.0,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.015088190473316535,0.015205425295745522,0.02576811726009125,0.04984656603891147,0.0537642910229447,0.10155361879499811,0.12124659461724996,0.11642987679066202,0.17351243007149908,0.11369831010045947,0.12945392545348341,0.16845106010787347,0.17121075074299005,0.14243848131108894,0.14805696034069737,0.11786579899731066,0.08624264035160462,0.09891522964819151,0.09482364495318082,0.0613453920846917,0.057357388674522884,0.05269629369401019,0.03037341432910488,0.03579994988007017,0.027295556283437054,0.020768431983385256,0.01786635962996784,0.02088031403992316,0.019101385911666702,0.0,0.0,0.0,0.015893558567763325,0.0,0.0,0.0,0.0,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02911462427577372,0.05313828457114278,0.04169339320076972,0.11602049695446194,0.1330082021724673,0.17549907549594157,0.18123563869380885,0.11612089844397996,0.19664349889811833,0.1827639533248981,0.18797671980623937,0.15850715083396374,0.0747132877582278,0.1153059326762135,0.12021488410533829,0.09723261032161556,0.08589388201304025,0.05931198102016608,0.03578955740247346,0.04044652968775279,0.0325626831650928,0.019929052572840687,0.024769846839780375,0.030123074274894565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020117351215423303,0.043963476496449105,0.08411608019066312,0.11168504816417703,0.1563259918015702,0.13740135287485908,0.2029969734996678,0.12694619721465109,0.15008658841639408,0.13677752159130876,0.15535991714137753,0.114290379199151,0.10171698266742614,0.11553324568742282,0.08294821661334281,0.09416934787726595,0.09159332563418422,0.05572361088998567,0.059302601407448405,0.032350681386226696,0.04492179523828971,0.02854346762355244,0.032548110175352946,0.02519314746388982,0.030515715593530668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01904489834785507,0.04767353165522502,0.07043279739641521,0.09862859289874132,0.0888930476279592,0.11504778004742787,0.11326938834530294,0.13723924543367602,0.15893037336024218,0.19549839228295818,0.15008021528748125,0.15775318092479568,0.1692047377326565,0.13804959366534694,0.10763435073422004,0.07405252439766206,0.07865046647862876,0.0517049010803603,0.044135495972635996,0.055472347035003054,0.03299422601044817,0.0468448608432075,0.0,0.015065232456536804,0.0319642000958926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014053579270970574,0.02608290638099674,0.025708465995609782,0.0501534696170281,0.06683002895967921,0.09121628625329105,0.0802822555088416,0.0709282737831368,0.11327384530029129,0.11057958123993365,0.16288654705200029,0.15058319083229116,0.11450090328490369,0.10764814435103548,0.10616261004660797,0.10292410007389423,0.11635315954234424,0.06260849768063974,0.05420827389443652,0.057907232613353406,0.03691626161324063,0.02992130696268813,0.02962348549930385,0.018667745247503188,0.028577779189026133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05314706552273935,0.04574216665396051,0.0,0.10833397817844154,0.10763435073422004,0.11165698972755694,0.17267267267267267,0.14792899408284024,0.12320328542094457,0.105318588730911,0.18392495861688432,0.15586945932781296,0.16918789808917198,0.13145919708767317,0.09184610674558628,0.08394543546694648,0.0744205826068467,0.08423712751395178,0.0757002271006813,0.054608999563128,0.0,0.0,0.0564652738565782,0.0,0.061934844543540195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.017914725904693656,0.04374835943652113,0.05468388507971227,0.0724562674671359,0.08443738565770692,0.10283474650264847,0.11139785744787509,0.1360272780034823,0.1539146237436487,0.1233782507277389,0.14382951138481484,0.11562364503540976,0.10997144971978429,0.11669872279731161,0.08523428212547383,0.0805928048534778,0.07242932482288766,0.0891623200035665,0.06850253459377997,0.02313101406365655,0.04318279960908203,0.057979081147521976,0.048740861088545896,0.05243001732470137,0.03676470588235294,0.04242381390086969,0.014755791648221928,0.02014910336490026,0.020532299874239664,0.02863017620572083,0.0,0.013101695359379504,0.0,0.0,0.0,0.0,0.0,F
Massachusetts,0.015331414067424153,0.013498692314182064,0.026378264310208392,0.05302908565000804,0.06784260515603799,0.07103588856631046,0.12453108664903757,0.08856199339537676,0.133770604988349,0.14728178470868528,0.1305354761737666,0.12105871347603589,0.12684821817893527,0.14498866452259188,0.13733953696956108,0.08702102770407144,0.0922577861107391,0.11098104200556426,0.1029079285881344,0.09575792396820837,0.08502289077828645,0.08854926782873915,0.08683164679557827,0.07376980467767626,0.07010104809615812,0.047090832984512346,0.05353987828601003,0.06658282163201895,0.03674479771021892,0.021775279119486898,0.044564182551096884,0.0126520886489678,0.035289706433754606,0.029920824894126313,0.020723479702502934,0.0,0.0,0.011928619143048002,0.01707192156671463,0.0,0.0,0.0,0.0,F
Michigan,0.0,0.0,0.0,0.0,0.008859828650913892,0.004489176595228903,0.026147697134959468,0.018392834151814454,0.04790181032690726,0.05917269180273304,0.0719988334366228,0.11951165698315805,0.11291226104614523,0.13975637530625626,0.10939545560517208,0.09867734406133176,0.1449133457358269,0.11718355389433277,0.163361288577196,0.12020892950224991,0.08516693797906402,0.09497194506910028,0.09117696113860009,0.07636122177954847,0.07678555056385807,0.05255237321739961,0.046868803403396185,0.03919071180130309,0.04057978365902837,0.03910680067263697,0.02021045823845646,0.03288391976323578,0.01960163447475159,0.020311547896192366,0.014223851819072604,0.0,0.01802451333813987,0.0,0.008402090440101498,0.0,0.0,0.0,0.0,F
Minnesota,0.0,0.0,0.0,0.008660558086363086,0.0,0.0,0.02156760545660418,0.023038616265263084,0.0302249088807894,0.0605971574424327,0.05992733810255066,0.11122439521735102,0.12347472399767577,0.14042638557073295,0.12475560934736057,0.12388455508023462,0.15226117735461037,0.12302107492185137,0.16067106251564978,0.18725015779507678,0.14688601645123384,0.14860733695652176,0.06797807707014487,0.08859638020503734,0.09286053643156394,0.07778570039541065,0.04483921937054276,0.04553536580077193,0.030749632102615915,0.043501903208265365,0.02470855140501808,0.016388453164142065,0.026959462771432775,0.020849622100599426,0.0130986063082888,0.013513513513513514,0.0,0.01385847723052191,0.0,0.0,0.0,0.0,0.0,F
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021941051707745192,0.0,0.03806913354652048,0.051740705151895924,0.026035855091869373,0.08466097129223428,0.056442509272697956,0.0788218211989214,0.07624857033930614,0.10932785236366815,0.1402524544179523,0.10894235133908306,0.09820113377672632,0.15015698229967694,0.1177696244960819,0.10506208213944604,0.08252427184466019,0.06726888333653662,0.053322991904600325,0.0,0.04693513564254201,0.0556947925368978,0.024437927663734114,0.03663387063010257,0.0,0.034466911764705885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Missouri,0.0,0.0,0.0,0.0,0.0,0.011007673921247955,0.012751849018107626,0.022611279798436593,0.017270072534304643,0.046773439138078424,0.055219905151692325,0.0835421888053467,0.12227813572873066,0.1335428122545169,0.14709409225357745,0.1186378371152625,0.15662240381341505,0.18305347273559336,0.15698307080293272,0.16870064608758076,0.11953057084902927,0.10187004293094666,0.09134633309719996,0.104419168375909,0.09638925838104602,0.06714590409984991,0.04930674713527799,0.02976308583673955,0.04602577443368286,0.03561676362341208,0.024176001289386736,0.031150060223449766,0.013174941261720209,0.016088255573431395,0.018855472800980485,0.02421483400731288,0.0,0.015037217112353073,0.0,0.0,0.0,0.0,0.0,F
