state,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Idaho,0.0,0.06998716901901318,0.0,0.07962689113866454,0.05308982798895731,0.11805108392358875,0.13739409205404168,0.15278838808250572,0.08927846765684604,0.0819470621978202,0.08092579104960751,0.0642570281124498,0.10280743376828785,0.0779544745868413,0.06927873142945115,0.045770081623312225,0.06062902614626753,0.0,0.07764577995185962,0.0,0.0,0.0,0.06399488040956723,0.04140443855581318,0.0,0.05842259006815968,0.05259835893120135,0.0,0.0,0.06605019815059446,0.052977325704598434,0.0,0.049766099333134264,0.0500600720865038,0.048985990006858035,0.04561211457763182,0.0,0.0,0.0,0.04365858982754857,0.03481651695564376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04119294776734223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05563591854901524,0.0,F
Illinois,0.00487771566819827,0.02212430170172754,0.042394437849754114,0.039719608982516016,0.04003232239363634,0.033329810670416946,0.04578144769261503,0.042761751258182296,0.051965037455698346,0.054826925564748136,0.04723241937605376,0.04068324263132138,0.03683159034342667,0.030481001083164143,0.0304123039492549,0.026347738485779967,0.020462765440435446,0.01974323917453517,0.018638794500121868,0.010301490282260834,0.02169124204051924,0.020880172091464866,0.024156494646132003,0.020899174227750027,0.022605879631576734,0.02514606116378111,0.03206743323102295,0.023261362280806393,0.03265799073252489,0.020736719074011235,0.025638941174263505,0.020512573000627445,0.02591747874766743,0.020175381711016478,0.025281157110900006,0.01763979537837361,0.016965359819858725,0.013873153136488705,0.017174304254000492,0.019738240563602686,0.014484042206498989,0.01743873771440928,0.011389278418029227,0.009313855434634645,0.013928087087197154,0.011010952227148605,0.012431353335624602,0.009820808025866498,0.012589515155554568,0.01169146230964838,0.01201540799378026,0.011143846159203772,0.008552490912978404,0.00662797890829823,0.007469375560203166,0.007604678398150541,0.012482154419852867,0.007210325185665873,0.007380860608346934,0.01237021581903199,0.00836477093074806,0.01000934205258241,0.008468404383246109,0.013107877834578582,0.027115204632326573,0.01616538990022362,0.019391476984163627,0.02603997135603151,0.02840559400831337,0.02875671816432977,0.036250271877039074,0.029471799853732546,0.040783496278505964,0.04295432909981657,0.03547608911593586,0.04485363550519358,0.06993091308069786,0.05786964234044962,0.05869014272375617,0.07938420537827992,0.05869074492099323,F
Indiana,0.014148273910582909,0.037951384276741496,0.051616118467891214,0.0793008834118412,0.06602735418959282,0.06880283074503638,0.07136182142553733,0.08769444556873221,0.0883234068963871,0.10757607606988735,0.09899436215035072,0.08081929047900509,0.06698222738233456,0.06282087386001776,0.06349821344009643,0.04690040438570893,0.04912669460965183,0.03309431880860452,0.04437344692935748,0.04482477587612062,0.04096723645264699,0.04106059517332703,0.046514031732906094,0.041759912625413585,0.049205602877981036,0.07496003968472689,0.048850232336470865,0.06241586097172929,0.053986867380632526,0.05020661954968524,0.05645393985773608,0.034607857176953555,0.05001562988433886,0.03727737125500483,0.030277253132253927,0.024814982410556588,0.034048852701702444,0.01967907962458371,0.023022907793254287,0.027801352023645785,0.01688096108938469,0.015192111151009585,0.018760101593165553,0.011555016321460554,0.01810582856797984,0.01368488276617097,0.009094629621208676,0.010903936321011885,0.01265042141716346,0.013641530882910194,0.0,0.0,0.0,0.010902577680865977,0.0,0.01133805212264533,0.0,0.0,0.0,0.0,0.011609586201177545,0.0,0.0,0.02103270585760858,0.017381026871067542,0.02459160372387142,0.028586742897981063,0.03042995739805964,0.03275466754012447,0.016992353440951572,0.02779211497994997,0.018792282635930843,0.01697900969925929,0.03267048548341429,0.03339121143315079,0.049087420232942124,0.03178711713552665,0.044593611378412,0.03450060376056581,0.038641867175021896,0.03221908981071284,F
Iowa,0.0,0.039227993095873215,0.04051350872306485,0.04826138365386936,0.06633743642662343,0.04030937444889527,0.06765899864682003,0.07171690264942729,0.08093234056328909,0.052877079674428264,0.06081940323264343,0.07832850611144507,0.06380080354525547,0.05852827980064913,0.05448502569877046,0.018102824040550324,0.04469393592677346,0.0288912964969303,0.03764722755059967,0.011108231199318695,0.023495815937392688,0.036165711289126774,0.025659353750847675,0.03431054858754908,0.038108227365718644,0.03988412611780511,0.04558924093913837,0.04054376341521584,0.04192768707147437,0.03771497535954943,0.050057566201131304,0.048905734197334634,0.034521217271230545,0.0411292928699433,0.03424444306083058,0.026973565905412698,0.02618105655108215,0.023113371085172772,0.02147766323024055,0.01883745963401507,0.015344483658124904,0.020062192797672785,0.028373184761020406,0.0,0.0,0.02245992307476347,0.017468774565464234,0.0,0.0,0.0,0.0,0.0,0.016181753454804364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023914863087408825,0.024769846839780375,0.043032963249849385,0.03652134215932435,0.023825407414466787,0.035040296340791914,0.05597109856001628,0.0,0.04065247217846435,0.025930920029042633,0.0,0.0,0.04169148302561048,0.043472860514221834,F
Kansas,0.0,0.0,0.0360345932094811,0.07947976878612717,0.0752471183773985,0.09768009768009768,0.08323682686740011,0.08541533205210335,0.07092005128065247,0.07398764975384878,0.10569060466151194,0.06091314339507711,0.0795096052732822,0.08039172696046189,0.061484617021779736,0.07099507614794458,0.06705667445140703,0.034129692832764506,0.03482864307606576,0.03869969040247678,0.03074085459575776,0.051499619883757994,0.04540409645848048,0.05689458984172959,0.04414280196435469,0.04998088965983595,0.06878480183426137,0.07129362278544185,0.06295829938523073,0.05893186003683241,0.07737216009003306,0.03103234259706227,0.036934441366574325,0.03637833468067906,0.0543773790103317,0.028784078292692954,0.027771165595493134,0.022897267592733934,0.0,0.025842655148226087,0.027505587072374073,0.022737608003638016,0.01907547529725949,0.025780670941961265,0.0160627088152146,0.01638377351071499,0.016764459346186086,0.020290835306053433,0.0,0.0,0.020843465573542694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01974957538412924,0.0,0.0,0.0,0.0,0.032350681386226696,0.04083799567117246,0.053009297015168814,0.0447536514911103,0.0,0.021796939709664762,0.0,0.0,0.023715789972964,0.03974760272271079,0.029878990090134956,0.03545021776562342,0.03646023230376582,0.0,0.03499358450950659,0.0,F
Kentucky,0.010083084617246107,0.01930688290375519,0.03457548981943911,0.06835901415216347,0.06694311694590624,0.07668417622023696,0.053542744958058185,0.08459548715612747,0.09023300490460043,0.09811616954474096,0.10359221230309863,0.07524570024570025,0.08588476374156219,0.07335860129600195,0.0698714365567356,0.043271311120726956,0.05441436539246361,0.04717124684256977,0.045540105653045115,0.06356687700584505,0.03708453729313782,0.05062410023571847,0.07278844443006648,0.05601317957166392,0.0558593022665335,0.0495557074504443,0.05103583849992439,0.07656196482179195,0.07002080029655869,0.05835278426142048,0.061461555796849074,0.048679803723031385,0.03899851805631386,0.03632711498600338,0.037370850736425584,0.019869742797218235,0.023963575365444526,0.019330312077149425,0.026504108136761195,0.018855670319079844,0.03467477104452649,0.0302999697000303,0.01675497937043165,0.012667581547556213,0.0,0.0,0.0,0.0,0.0,0.02185845436440472,0.0,0.014035744362309347,0.021131224906670423,0.012049934930351376,0.014971554047310112,0.0,0.0,0.0,0.0,0.0,0.0,0.01537633581917429,0.0,0.013560425254935995,0.0,0.013792342491448747,0.027736173517501527,0.013747594171020073,0.033066960595205294,0.01442002653284882,0.018078278947844164,0.02237494006712482,0.0,0.03055508402648107,0.017275334277718275,0.035427073369468945,0.028685144680698483,0.022361359570661897,0.0,0.041283078066300626,0.025846471956577927,F
Louisiana,0.0,0.01227505953403874,0.016069051007759055,0.017140530927945492,0.026566395553194098,0.028905314448527893,0.030242806532446213,0.05233523424528983,0.03462889368929638,0.05658367727333245,0.051352001925700066,0.05695031085378008,0.02114611968703743,0.05686324389842429,0.038615560640732266,0.032000890459560616,0.02512562814070352,0.03351565851565852,0.027733755942947705,0.04017139796464917,0.03217891476609951,0.04512882227449264,0.030731407498463426,0.038266933117904675,0.04398633491195402,0.03808575153441634,0.031850176768481064,0.02486325211337643,0.0288855283502965,0.05384749001215911,0.046871745017707106,0.04225872906872326,0.04773620240149819,0.03391250573520318,0.029450124111237326,0.025683282323480938,0.03584909639189388,0.02501459184524306,0.03122012136822182,0.02524124808263596,0.031217290706428924,0.040164149131231994,0.020688941760628944,0.025065169440545414,0.015383826470437414,0.020846724458419473,0.01756697408871322,0.020493712156497437,0.023730891688255186,0.020061387846811243,0.02025152392717552,0.012438584489085143,0.014788836541102402,0.011082542778615125,0.020805400157196355,0.012019519699992789,0.01233988992818184,0.022970317245603736,0.0,0.0,0.015535991714137753,0.0,0.022162506579494142,0.03415008964398531,0.03138373751783167,0.05211650935201807,0.03691626161324063,0.050866221836569823,0.03554818259916462,0.0528919448679257,0.047629631981710226,0.020358996980082113,0.02738413089614568,0.04148373491893387,0.04448246364414029,0.04412912861943718,0.037455734132389,0.04577303616069857,0.045421855482796474,0.03632694248234107,0.021270259922576255,F
Maine,0.0,0.0,0.0,0.0,0.03327122704285334,0.041803107364314085,0.0,0.02981159074648223,0.0,0.0490089305162274,0.0,0.05100884153253231,0.028199199142744345,0.0,0.03792804508019073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03523194362889019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06709908297919928,0.0,0.057195149851292613,0.0,0.0,0.0,0.0,0.0,0.08827423863469178,0.0,0.0,0.07865345288658172,0.08661008141347654,0.0,0.0,F
Maryland,0.0,0.01954804910469935,0.01726459721694693,0.022984542894903176,0.04570629671452384,0.017043033659991477,0.03431610855329006,0.026448665544602068,0.02290235269623152,0.031148489298269036,0.038120865567888775,0.035086949847591066,0.01817667730338894,0.015429717636167257,0.020703933747412008,0.01605222323291776,0.010569334836527621,0.015374628446479209,0.0,0.01346778673759701,0.011595547309833025,0.01502128014687474,0.01166141902810402,0.012057531651020584,0.016821989704942298,0.023493874811209934,0.01418917720508682,0.023995422411724535,0.015433289605679452,0.0,0.0138652299647427,0.01593308105954989,0.0,0.012096579087434074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016191709844559588,0.02045501034114412,0.02319163245900879,0.02320993385168852,0.02051609373575271,0.02527573529411765,0.032996299700676426,0.041808076336628794,0.015111827523675195,0.0,0.023424689622862496,0.03459470967055192,0.03406440793438671,0.045667006930639874,0.044112376278569655,0.05539358600583091,0.03876084558275441,0.04723516815719864,F
Massachusetts,0.0,0.013768652221055711,0.012750223128904755,0.013385268173847864,0.009088548428979486,0.017029247732981395,0.021693542555499313,0.01587427573616954,0.012280234961828935,0.018635242532200603,0.016853932584269662,0.013518080432578574,0.011828974535443909,0.0,0.006208673516903114,0.0,0.008793184305143035,0.0,0.005592580509856923,0.0,0.0,0.0,0.0,0.005851603339314972,0.011761477241541538,0.0,0.007447046182324968,0.008957463246408616,0.011548544305990229,0.0,0.01791429799837577,0.010699255807318292,0.0,0.0,0.0,0.0,0.0,0.013987725770636266,0.0,0.0,0.01154049063571617,0.009641651936365098,0.0,0.009265550682562233,0.0,0.007505253677574302,0.0,0.0,0.0,0.006878335992956584,0.011892020454275181,0.006590393841935994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010258689965291432,0.0191851541788754,0.023200613923937678,0.031441887992897835,0.030942987545447515,0.03959141658088526,0.0405128932282699,0.029521540180924868,0.02646727982531595,0.05063524212852145,0.023026088558336596,0.04961958319550116,0.0430416068866571,0.04294302891497281,0.06828768626685852,0.04943642475776151,0.03337698015353411,0.052980132450331126,0.05434044287460942,F
