state,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Illinois,0.0,0.00502785431289343,0.0,0.0,0.0064529213296705325,0.008478887569950824,0.0058843865159282985,0.01260276816095959,0.023574744132733937,0.024971698741426383,0.03749876648794448,0.033864855870005664,0.05790708992231826,0.05620060027024119,0.06544695553734309,0.08538232306885275,0.09035439606795086,0.1010122952600252,0.11159042182212695,0.10640638029026434,0.10414558664567303,0.13381698615472112,0.18003080636141552,0.16388938430614539,0.1286801303311207,0.12423340103725031,0.11061270262004283,0.10882365311014847,0.10165428981103002,0.07845068486875258,0.06024096385542169,0.06038647342995169,0.057811459236637386,0.04627516211940243,0.049471499589748544,0.04405971387103463,0.03314526995381279,0.023748965770845464,0.03067790500586715,0.02082112341528116,0.014643883866293634,0.021654557537652795,0.022015729859402994,0.015208244316823938,0.013253440662951053,0.019931237231551147,0.01862771086926929,0.010995858226734597,0.017617523563437765,0.016087633728455366,0.015108935424409995,0.01851399287581554,0.010960745915295356,0.009895041877230802,0.016715769238805658,0.008552490912978404,0.007364421009220255,0.0134448760083657,0.004562807038890325,0.004680807907444825,0.009613766914221165,0.01066124310094557,0.008246810546021326,0.005855339651523643,0.008341118377152009,0.005081042629947665,0.005243151133831433,0.0,0.0,0.004617018329562768,0.0,0.004734265668052229,0.0,0.0,0.0,0.005664374483125828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01414871875491275,0.03112509009894502,0.049273638603347214,0.04856923139191323,0.062065096738001736,0.0915014899904789,0.11831033525285817,0.12424458088563467,0.151826382066625,0.22528865108420162,0.2679839855353222,0.23554425313711594,0.22054750133269227,0.20157448728877297,0.28990651993846883,0.3168296658516707,0.30315754974958775,0.2350719073672973,0.19535893327820558,0.1927380582711396,0.1913551223032596,0.17747891748883868,0.158465387823186,0.09178803084077836,0.10295170058632248,0.10942468363392938,0.0853081757850234,0.06921571435390711,0.04751484839012191,0.042799944774264805,0.037486122925647715,0.033573211496635384,0.03700962250185048,0.027247956403269755,0.033095429952803034,0.023411664862017498,0.029541681906423208,0.015192111151009585,0.01731701685522974,0.0187769015223734,0.022632285709974803,0.010643797707021865,0.02576811726009125,0.028038693396887703,0.017394329448599758,0.01667298219022357,0.014968715384845673,0.011790367269940458,0.008974780865767194,0.00778755548633284,0.0,0.008098608659032377,0.009691174570357928,0.009823343538695788,0.0,0.0,0.0,0.0,0.0,0.008763627440670243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027026362988624354,0.03527070264278336,0.03643176850213386,0.08401122881790053,0.089924822848099,0.139746567710989,0.1253248309036289,0.12386833524600616,0.15346679771696584,0.20573577142046362,0.2542634532609288,0.2805937726285301,0.2663758581235698,0.27446731672083785,0.33165414746956845,0.3850853482430481,0.2837571617054348,0.28390083361964524,0.26392478143729037,0.2325492737600549,0.25472341449717195,0.2183131113816701,0.19603373603829496,0.14071070832339613,0.1381147338825038,0.1232022528411948,0.09510937578214948,0.09047560826506908,0.06904243454246109,0.06756955257204972,0.05914949255961646,0.08092069771623808,0.061089131952525015,0.034670056627759155,0.02684707903780069,0.016146393972012917,0.048590864917395525,0.03009328919650918,0.0,0.01860020194504969,0.01920333589377812,0.0168449423060726,0.020380236993041603,0.02813203300825206,0.016035920461834507,0.01611395791034194,0.025334895651898535,0.01566956031213764,0.019418104145765235,0.026541919644338274,0.0,0.021088148460565163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02394226493826316,0.03139717425431711,0.047046902142443545,0.05185930874591989,0.09546929980087832,0.07398764975384878,0.12515992657284308,0.1135199490544619,0.14363025468721946,0.1656556797973154,0.20337219476434837,0.16260162601626016,0.19192082687816497,0.22525597269624573,0.25076623014767346,0.2733165634674922,0.2530208801343139,0.19864139098020941,0.19927353445666432,0.16551153408503155,0.17381228273464658,0.167582982977097,0.11464133639043562,0.10694043417816276,0.07777201688763795,0.08839779005524862,0.07385524372230429,0.03792841872974278,0.059095106186518934,0.03637833468067906,0.046011628393357595,0.0370081006620338,0.035705784337062604,0.026713478858189588,0.0,0.018459039391590062,0.020629190304280558,0.022737608003638016,0.025433967063012652,0.025780670941961265,0.0160627088152146,0.019660528212857985,0.026823134953897737,0.016909029421711193,0.02453385672227674,0.0,0.017369554644618913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00727685523424197,0.028680111097693514,0.022851223302154108,0.019963144963144965,0.02109450337512054,0.05349064677833476,0.060555245015837526,0.06863725212253241,0.04383379434392902,0.050214553090477496,0.09411621834962658,0.10387757949735656,0.09116615417896379,0.08701017228014112,0.07278844443006648,0.05107084019769357,0.054166596137244616,0.05809979494190021,0.05103583849992439,0.03626619386295408,0.0,0.025008336112037347,0.01843846673905472,0.02141911363813381,0.017549333125341238,0.0,0.0,0.01324649519814549,0.0,0.015034687171116216,0.0,0.0,0.012238154486303464,0.0,0.0,0.012667581547556213,0.011049723756906077,0.0,0.0,0.0,0.0,0.0,0.0,0.01169645363525779,0.0,0.0,0.0,0.012613521695257316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014437305998700644,0.011542964563098793,0.0,0.0,0.007909765396358345,0.0,0.013467610396995228,0.017162471395881007,0.018087459824969045,0.015354550530429927,0.02145002145002145,0.017168515583729532,0.030798071772897697,0.026815762305082928,0.02871834144740441,0.020953232385315976,0.026928582564451436,0.029324223274636015,0.026367058754595923,0.022295123737936746,0.009945300845350571,0.02718637962380847,0.019107173875282265,0.010415943337268245,0.010564682267180815,0.009180038923365035,0.0,0.014725062055618663,0.0,0.0,0.0,0.013658803098597044,0.0,0.02019942339827754,0.01920894088885008,0.012068549360366885,0.010026067776218167,0.010255884313624942,0.015635043343814603,0.014053579270970574,0.011178388448998603,0.017798168766191388,0.01805524906213012,0.012150914356305312,0.0,0.012676145606659202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052287581699346414,0.0,0.0413393964448119,0.0453857791225416,0.07119609438567942,0.08075913587724612,0.05921247409454258,0.06890441972635102,0.060198655563359085,0.06890337626543701,0.065695828314902,0.046975924838520255,0.038407374215849444,0.0,0.07767264510662336,0.048927098623051654,0.0,0.047742463511117175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018738288569643973,0.0,0.0,0.0,0.0,0.03664557938589724,0.018821757952192736,0.010701482155278505,0.019377113866967305,0.020499504595305612,0.026475601078880744,0.06228851366138617,0.056321229790617544,0.04506384044062422,0.038316091092341784,0.03617259495306175,0.04205497426235575,0.02517200872629636,0.02837835441017364,0.022149620687745723,0.015433289605679452,0.019958486348395338,0.009903735689101929,0.0,0.021347451114336946,0.0,0.0,0.013642192573190364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010350895352447988,0.0,0.00970139117949514,0.009283154787322924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00566938419148912,0.005116764567428724,0.0,0.0,0.006759040216289287,0.009678251892635926,0.006190481103556432,0.0,0.0070032915470271025,0.0,0.013513252639910427,0.021438225287784874,0.027201951036488134,0.024667697649927423,0.02270963834900929,0.01967305260199541,0.0204806116876024,0.023522954483083076,0.02610625244746117,0.014894092364649936,0.01903460939861831,0.016167962028386322,0.009621745144025497,0.013137151865475564,0.01664328681138401,0.011665888940737284,0.007362577491128093,0.011061422498933363,0.008209102252577658,0.0084758692003865,0.0,0.0,0.0,0.0,0.009641651936365098,0.0,0.0,0.0,0.0,0.00863036161215155,0.0,0.0,0.0,0.0,0.00922655137871039,0.009809966926397221,0.008559445347941454,0.0,0.0,0.0,0.0,0.0,0.0,0.008349196807267142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.004633018596936648,0.013729725771610588,0.03433615091748215,0.03171128410241721,0.0559100177596527,0.05160323474523553,0.08751673113977672,0.0831535257811772,0.08780243059426915,0.11314996573172466,0.16816778988473893,0.194009049662633,0.1691304704050938,0.14575084638778907,0.17554576021219576,0.2184869370964666,0.24771008911933434,0.23350745494170963,0.19021035026971003,0.15300023906287355,0.14636577564397785,0.14458924982169485,0.12907667154289648,0.11767919810032153,0.10531896094716381,0.07553638093577955,0.06714964671824755,0.06850213522612991,0.0664249927568492,0.0517011974909713,0.04156275976724855,0.039306420346432495,0.031185507911029583,0.02563566966065969,0.020208046651719127,0.03205421741917758,0.020044827523370445,0.028137310073157007,0.024299860275803414,0.02037760589710195,0.022445882976144516,0.025213850808710917,0.0202321175669959,0.022595193550427953,0.021265186116607188,0.018227552768765268,0.01470912701331176,0.01487991037042224,0.017253873494599538,0.014346944997399615,0.01233466800766647,0.011749730735337315,0.010102030508132135,0.0062431065698291465,0.011701754199334063,0.0075464375424487105,0.008733052420147151,0.0,0.0,0.006876317960942515,0.00597186059288632,0.0,0.009797677950325772,0.0,0.009124920156948626,0.0,0.0,0.007539090182596764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
