state,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07258064516129033,0.0991981483012317,0.09716456143450225,0.1265946051222125,0.08973975471133712,0.11351909184726522,0.08642212406376032,0.16492578339747113,0.07857774285433651,0.10298661174047373,0.09434951252751861,0.10474494605635279,0.05189413596263622,0.1128089426725464,0.08096346523631212,0.09173376821934563,0.06028333165879634,0.09488566277635449,0.0,0.07382116821998708,0.053514092044238314,0.0639269406392694,0.04730368968779565,0.04974134500596897,0.0,0.04808617041738796,0.07629219912263971,0.045599635202918376,0.0,0.04959825414145422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.06988120195667365,0.0,0.061761754033814564,0.07034547444114428,0.09599232061435085,0.049685326266975825,0.09089256498818396,0.1460564751703992,0.08415737428992215,0.2510642942910163,0.21017699115044247,0.12109202994275649,0.18012290739563466,0.18477098123115823,0.18911117746591022,0.1001201441730076,0.13716077201920251,0.1277139208173691,0.06933009792876332,0.06509886890715275,0.07503564192991671,0.08731717965509714,0.11837615764918878,0.06862005077883758,0.0,0.04233401538135892,0.08178438661710037,0.0,0.0,0.060261707988980714,0.05415651232060655,0.0,0.045326806273229985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.0,0.0024679048968168963,0.00382334246156346,0.00686766018817389,0.0062663588117055575,0.013110805731850032,0.02119855652619747,0.026506269752268326,0.031543087858014046,0.047081986859845486,0.049246415319070966,0.07634498389597996,0.0813368825791186,0.07540625117822268,0.10005440458249173,0.1212655050919446,0.11857246527057848,0.10447965528919247,0.08197223669291821,0.09203371501760145,0.0678614392794349,0.06397065057380903,0.04106898843347944,0.04403145971880599,0.041279520288522116,0.05022356461749873,0.036303324957468165,0.02579221504975748,0.030788403034856873,0.03303285668144581,0.028518987064079973,0.04003867887468649,0.023697910881043893,0.030690088562826998,0.016256140226879174,0.017412259623755894,0.008552490912978404,0.010310189412908358,0.01120406334030475,0.006083742718520434,0.0,0.0,0.0,0.004123405273010663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Indiana,0.0,0.0,0.0,0.011832919181161992,0.01426242868785656,0.012290170935794098,0.02258332734532987,0.025841128740503386,0.03426454369264704,0.0459252293527823,0.05952709033787136,0.07267961396401763,0.1285032431770897,0.08160805534281661,0.12487287426460175,0.1392530516490823,0.15991216764523367,0.12003751172241325,0.12011597404390445,0.09948240314883433,0.08612258601310814,0.08882309400444115,0.04087193460490463,0.06906872337976287,0.059992391208919846,0.06330360408519257,0.04971963649421318,0.04329254213807435,0.024554409683103677,0.037720476183291336,0.02736976553234194,0.04092583329543904,0.03738492452918361,0.02530084283432692,0.027283061765820387,0.03293117384666048,0.013264163178683015,0.022436952164417986,0.018690133167198815,0.011050944855785168,0.01457749558625828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Iowa,0.0,0.0,0.0,0.0,0.011108231199318695,0.018073704567225145,0.02893256903130142,0.05681714044830557,0.038122831763943425,0.05615949296000641,0.10495822662580294,0.10941417825393207,0.11209158120677319,0.1430474029497361,0.11817358945992157,0.20273314311458177,0.22252109059787262,0.17526156460778586,0.15570375157907107,0.12763837868127761,0.1528502067973386,0.1047242262043286,0.08089679879810471,0.08859536082474227,0.07534983853606028,0.10485397166385352,0.08024877119069114,0.05416698908922077,0.04517191900940638,0.052123340283112045,0.050534826918217805,0.04076047398608321,0.05313828457114278,0.05131494547787044,0.08056978955170968,0.022168033695411215,0.034473032686702806,0.029127156218647855,0.0,0.0,0.01757345705047097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.011609547692021919,0.0,0.01655276785925418,0.03678544277411286,0.05549389567147614,0.06465294300196545,0.08276775368316504,0.08526151765501426,0.13101867016049787,0.18536341924214877,0.1555440337752759,0.10313075506445672,0.20749806569599774,0.23791462657747742,0.1994459833795014,0.15359741309620048,0.1631321370309951,0.14392039146346478,0.10315004364040309,0.09540528163639139,0.09619297791261237,0.08491158120131428,0.05501117414474815,0.06496459429610862,0.0699434094232848,0.0837871805613741,0.06103829349781547,0.08519562225571793,0.040234702430846606,0.06425431180250255,0.08411608019066312,0.045372050816696916,0.03126519836031404,0.024661781285231114,0.0,0.022402270096703134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.00791001566183101,0.016175209873348105,0.019769357495881382,0.03216141645648899,0.0393028024606972,0.03780432481475881,0.07253238772590816,0.10297176514199806,0.06460486828942981,0.0860461781155887,0.11293714463743282,0.09164651743233757,0.1068444558411864,0.05056056276104638,0.07947897118887294,0.06317669869071738,0.07087781094954788,0.03058166323472446,0.05237686199744401,0.053032002773981686,0.024239975760024242,0.02303809663434352,0.027446426686371796,0.0287292817679558,0.05730527666987577,0.034719811124227486,0.03808979669571014,0.01668573607932876,0.012143585758002623,0.0375727972947586,0.016375035089360907,0.018783311028151485,0.014459921916421651,0.014971554047310112,0.012613521695257316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.009572780482468136,0.015365703749231713,0.022676701106906474,0.013195900473586205,0.03515607833946123,0.05255279166799376,0.061329355212995186,0.044177866888688765,0.05384749001215911,0.0746475939170891,0.09332136002676386,0.08078434252561231,0.09575295736998543,0.05258950734149523,0.053506838173918624,0.05061048902385019,0.0479446343700492,0.03317137895373568,0.04854086169737685,0.031217290706428924,0.031432812363572864,0.04137788352125789,0.04344629369694539,0.03076765294087483,0.02779563261122596,0.04216073781291173,0.04471355379599441,0.04152906045444658,0.026079804200854612,0.03037728589076328,0.022804071563322762,0.027464982147761604,0.015515559890061176,0.011558555642886865,0.016827327579989903,0.0,0.012761287358668744,0.0,0.0,0.01294665976178146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04013243704223939,0.026501298563629618,0.0,0.046975924838520255,0.04480860325182435,0.039936102236421724,0.056489196441180625,0.0838750262109457,0.08206811653672548,0.08184422316191516,0.03728282752963985,0.06381111908750099,0.09229736532975331,0.11759764804703905,0.0,0.0,0.0405120725976341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03872966692486445,0.0,0.04612900745752287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.008282533792737874,0.023366435784027372,0.009995502024089161,0.02067005425889243,0.02186858661642499,0.03020641047155563,0.06030400312161899,0.07752367240711003,0.07330812562697739,0.04390866996646974,0.07328764409935427,0.11750647281418045,0.07685082401161301,0.053224947984709926,0.06370272063702721,0.06548252435131374,0.06751054852320675,0.022971343249296502,0.04643540016388965,0.027276198788936775,0.03865082841608905,0.02483484825907714,0.026436588238121558,0.03401206294499116,0.0313507703332139,0.013124507830956339,0.027341942539856137,0.020701790704895976,0.03618745099616011,0.01940278235899028,0.018566309574645848,0.009068485200232153,0.0,0.011566711005725523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
