state,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06979758699770665,0.05159958720330237,0.04801229114653351,0.0,0.04911108928396032,0.051493305870236865,0.0,0.08379595684508222,0.0,0.06153215054866168,0.05060216577269508,0.081541127306085,0.05023610971566361,0.0569313976658127,0.06774412077808963,0.10150410630248223,0.16054227613271496,0.1187214611872146,0.11352885525070955,0.18901711102268204,0.2531399084801869,0.18272744758607423,0.25748617203890906,0.2644778841769266,0.3425309229305423,0.32734847733359784,0.27746377556263485,0.34086067319982954,0.32516548600627104,0.1933534743202417,0.3841568419658233,0.35263800352638003,0.34652035807103665,0.2851846570654499,0.39791857973676154,0.2562942861450324,0.1601630751310425,0.31413612565445026,0.3042433947157726,0.22713506965475466,0.273972602739726,0.28585040495474034,0.25680534155110424,0.18394648829431437,0.10328800137717334,0.12039903680770554,0.0,0.08742787200559538,0.12580877066858376,0.0,0.0,0.0,0.0,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05530973451327434,0.0,0.0,0.0,0.0,0.0500600720865038,0.058783188008229646,0.04561211457763182,0.04333131120547708,0.0,0.06753207773692504,0.04365858982754857,0.05570642712903001,0.0960680710903726,0.08470388932025129,0.0,0.17100371747211895,0.20004616449949986,0.20944095376188174,0.2066115702479339,0.1534434515750519,0.257542310522443,0.29009156014867193,0.18433988764044942,0.28896672504378285,0.2232909653040192,0.22522522522522523,0.22139567835635846,0.2847036493831421,0.2638971652336767,0.20542668835059488,0.25129837493717544,0.2425154708145175,0.2669113353907749,0.2080905610121525,0.22244191794364804,0.1765650080256822,0.1665080875356803,0.17213050622017056,0.19108767102346558,0.12124886329190664,0.16897081413210446,0.13446508109925204,0.0975177304964539,0.0,0.07620499142693847,0.05803830528148578,0.047609979051609214,0.0,0.0,0.0,0.06676310225881829,0.05540780141843972,M
Illinois,0.0,0.0,0.0025831116162529384,0.0035809839520762033,0.0024679048968168963,0.003345424653868028,0.0,0.0,0.006312610167187053,0.003943917493246041,0.007136303394841472,0.00630861757160281,0.010165428981103003,0.01317055293417014,0.01192890373374687,0.012323770087745243,0.010054166823763023,0.016258840744654907,0.011462908441527102,0.018142235123367198,0.018734283017372445,0.016854104740600007,0.0253092716298404,0.022363428853450138,0.02003899897492813,0.035842026269218424,0.0470681121132064,0.047797339281446666,0.04185297051458227,0.036303324957468165,0.04441992591902677,0.05058094784297914,0.05725695158117274,0.07093183962091684,0.08385459160547547,0.0888671658039146,0.1169146230964838,0.12651517828745099,0.12467177890609221,0.1475304682488775,0.16569947270745575,0.1829997012249776,0.21977520570655068,0.2075158172300539,0.2090994303843103,0.21568514888836038,0.21854047946956515,0.23254063187479612,0.2051915120779394,0.20070118388293276,0.18088871411718443,0.19330516850787652,0.1885962155026089,0.15236160487557138,0.15623982813618906,0.20452027685985627,0.20129702715030842,0.15225114188356415,0.1244364882713152,0.11781898924901724,0.1242192760454155,0.09223783170143324,0.08144475920679886,0.059079564499210264,0.05786964234044962,0.04668534080298786,0.058120578937669226,0.05417607223476298,M
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005132574396665879,0.0,0.00856613592316176,0.007654204892130385,0.014330595822080142,0.017872036220660074,0.012238404112103782,0.021343645243505883,0.010298793753781588,0.01630891595890153,0.028640985249892593,0.022507033447952483,0.01794836393759492,0.02739370521489641,0.026274687258236385,0.016284233900814214,0.018165304268846504,0.030217566478646256,0.03365426823915015,0.03376192217876938,0.03590862635693175,0.03463403371045948,0.0375538030447468,0.08600268569790424,0.09123255177447313,0.10913555545450412,0.09190460613424303,0.1122724900773257,0.14854111405835543,0.17513397000269437,0.13706301951305783,0.17799982050438268,0.22895413129818548,0.25890785090696683,0.25591603362542314,0.3424215014859801,0.3520031434699324,0.3127495342028214,0.3386566619077659,0.2952151919728004,0.32477167067822876,0.328496198587805,0.26641427419637537,0.24507247888205236,0.24415949411558052,0.15722708593889584,0.16109977446031576,0.2074462277541216,0.21146039837628625,0.15881208559971413,0.13989810406748518,0.09550692955833351,0.0958334240846819,0.06455634210409154,0.044624927484492836,0.06130372590422995,0.06336986880090126,0.0492865768008083,0.054098614045030656,0.03758893811249832,M
Iowa,0.0,0.0,0.0,0.0,0.0,0.008963625607285636,0.0,0.0,0.0,0.0,0.013342991117380198,0.014039873240001603,0.01469415172761241,0.011397310234784592,0.01669449081803005,0.014798007201696838,0.02262898521572966,0.012514391550282826,0.02689815380853405,0.023899304264698072,0.02056464643497165,0.04358383662287529,0.02997062878379188,0.043635094251803584,0.017335028313879577,0.02684707903780069,0.024219590958019375,0.03836120914531226,0.03510883739592738,0.028373184761020406,0.01594303023861402,0.052123340283112045,0.061764788455599545,0.09898972253763066,0.11565391347836959,0.14432328415651058,0.10957491379032518,0.1710105456503151,0.20057037199536182,0.23301724974918284,0.2123353571547062,0.2746228174266825,0.2671165471671587,0.26027545819325454,0.2917972549443424,0.306324479808734,0.22317277292170354,0.21413276231263384,0.2842183994016455,0.25377737867489164,0.21747726374060894,0.3022229291764425,0.23054521922019092,0.1383914034516444,0.1355175574953167,0.20641539033150313,0.19795163094930715,0.11412919424788862,0.10483179262365386,0.12013815888271512,0.10685391543275835,0.07679311933650745,0.07622338533462066,0.07260657608131936,0.032263268269075655,0.02847056143947159,0.035735556879094695,0.0,M
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01226181425803762,0.0,0.01293058860039309,0.019312475859405175,0.026460470996383732,0.04585653455617426,0.03921149253199301,0.03333086438041626,0.040515653775322284,0.03165224730955898,0.027584304530722015,0.0332409972299169,0.04042037186742118,0.037645877776383486,0.032896089477363374,0.019836546853923668,0.04197832392001221,0.036997299197158606,0.029534463026544097,0.05501117414474815,0.055219905151692325,0.031792458828765816,0.05156134188392253,0.07067591878694422,0.08519562225571793,0.11064543168482815,0.15556307067974298,0.20678536380204682,0.21638978081809299,0.25359549781143614,0.26071025930101466,0.273123200708644,0.3024306463054923,0.25399268808928227,0.2930946891242331,0.28283472094968726,0.3102167435405527,0.2766701928553991,0.28285725668300066,0.3041434609155903,0.34136388605508905,0.286726932420055,0.22687470148065594,0.2648849529532695,0.19006025314408184,0.16335198268468984,0.19164899690099496,0.18308311973636032,0.15535774269398722,0.11770347443218973,0.11742920373966849,0.07160588122971168,0.11857894986482,0.06955830476474388,0.03983865345351327,0.04557885141294439,0.07292046460753164,0.0,0.03499358450950659,0.04277682718161818,M
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01434102968593145,0.0,0.011699555416894158,0.017095112934589825,0.0,0.015454244397836405,0.015249547959828334,0.02577374943619923,0.014271442842871414,0.04818671303764849,0.04691292553082995,0.0605999394000606,0.012566234527823739,0.04433653541644674,0.05966850828729282,0.08022738733782607,0.07638358447330046,0.10474694091320287,0.12395118230358504,0.1092922718220236,0.12211159120796543,0.14971460653129973,0.19722476579559062,0.24822865956523835,0.2570116778121569,0.2875882946518668,0.30096463022508035,0.3079232003312115,0.338781421330299,0.3281546428754551,0.32298395499062305,0.32034032956613107,0.31207849567586154,0.3037535257105663,0.26124581598497837,0.27032991283239544,0.2107949187330116,0.20346439373109707,0.1543124827776247,0.1759243237007556,0.11449576666967973,0.13744606041233817,0.12185884135296249,0.10185028008827025,0.0760114708219604,0.053140610054203424,0.07888414787192083,0.04099582587954681,0.046858526299347884,0.05366800148619082,0.05600068923925218,M
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008797266982390804,0.0,0.012740070707392427,0.009945300845350571,0.016991487264880294,0.022581205488969948,0.022567877230747865,0.02465092529008857,0.020196085631403078,0.025933092621037723,0.033657284698556944,0.019262461742610707,0.03163155563990637,0.018760943883932294,0.05853772756541591,0.05436576510106207,0.08997924968323631,0.06461189208067755,0.049998275921519945,0.0518013501771272,0.15041963659983248,0.15113875232354118,0.15634606938954765,0.19003260363297625,0.21951074811636045,0.28687784620940077,0.3159237732639381,0.3627920475983166,0.45845393277417446,0.4920648993705115,0.5224467150584863,0.6081876968196351,0.6392062982798193,0.6278553380465022,0.4834482583140378,0.5202993643633381,0.5126877265665458,0.5014251029241001,0.4238579383328255,0.327271692421526,0.4764621968616263,0.492211477213504,0.350704485325786,0.2752760240567308,0.35844417454157657,0.2644597243396285,0.21909630711586703,0.16965830816735095,0.1334976381187102,0.13136516057662392,0.11633875106929,0.0916528055942157,0.10215200217924272,0.10210908066617373,0.13248041182482304,0.10898082744702321,0.10635129961288127,M
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05465334166146158,0.0,0.0,0.05394158896509209,0.08423954663807628,0.12147900690911852,0.0762369444232675,0.10069713400464755,0.11607211947690164,0.20758053355885292,0.2158701801399434,0.24774774774774774,0.2569293055123015,0.4188911704312115,0.22819027558364052,0.3770461651646128,0.40915733073550903,0.47770700636942676,0.2831428860349884,0.540871517501786,0.46169989506820563,0.2657877950244525,0.3158892281773191,0.33524386287444574,0.2512013979903888,0.2387152777777778,0.19011406844106463,0.20327498588368154,0.1601464195836193,0.11148272017837235,0.1537672988211174,0.08155498165012913,0.15408320493066258,0.0,0.07356186552890981,0.0,0.0,0.0,0.0,0.0,0.0,M
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01476641379183048,0.009645806003549657,0.013970940443876737,0.0,0.01593308105954989,0.019212706002903254,0.014515894904920888,0.021234240212342402,0.024555946631742653,0.01969057665260197,0.03158559696778269,0.03277792952745152,0.04091429818340516,0.07472493493777217,0.11920727164357026,0.08171309091783027,0.07482653847898053,0.11868505911859549,0.14218216816869367,0.17246456063601565,0.17389504192112618,0.17691642709233832,0.207609771241196,0.22279571489575017,0.2521038885664538,0.2596150280013352,0.2814566344726544,0.34843205574912894,0.3117709000061941,0.3404885270170244,0.3609016056879822,0.34093712850189534,0.37833844500660413,0.2535026368801068,0.2920065980116803,0.2762935561949125,0.2914507772020725,0.3090979340439555,0.28989540573760986,0.27851920622026227,0.22339746512264066,0.2068014705882353,0.23804473355487993,0.15001721509025626,0.22919605077574046,0.1385930241511177,0.1535618541943208,0.09313960295917824,0.06550847679689752,0.08327513028528448,0.09373879959196052,0.05539358600583091,0.07454008765914309,0.05668220178863837,M
