state,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07324814844958086,0.05616625210623445,0.04721806878098686,0.05387516354960363,0.08064516129032258,0.0,0.05299885169154668,0.07790437238289999,0.08973975471133712,0.0,0.07681966583445361,0.07330034817665385,0.04911108928396032,0.0,0.09434951252751861,0.0,0.0,0.051276792123884724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05968961400716276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04689698296076286,0.03999680025597952,0.06624710168930109,0.09998182148700237,0.0,0.05259835893120135,0.05457919441109049,0.08849557522123894,0.07705856450902686,0.0847637211273575,0.06807351940095302,0.08957897879964169,0.09010812975570685,0.09797198001371607,0.08210180623973727,0.0,0.04882415168036455,0.03751782096495836,0.03638215818962381,0.0,0.0,0.0564692595468342,0.0,0.0,0.03847041624990383,0.0,0.0,0.0,0.045989698307579104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065819785427499505,0.0,0.0,0.004500369030260481,0.0,0.0,0.0,0.005667488452492278,0.0,0.0,0.0,0.008394719721295305,0.0054846211223728665,0.006384065372829418,0.01356724657948841,0.0,0.008044566900629487,0.014258961757464566,0.010730974470036193,0.005531075425431885,0.0059352212989655755,0.007355483144910373,0.003706696517929291,0.010567988749156593,0.0,0.005262984770237821,0.0,0.003696197229084144,0.002989393631395808,0.004716897696385088,0.004464435193142628,0.004898732316937095,0.005973845418603641,0.008265957172009402,0.004092553088087089,0.003455066855543655,0.004301260269258893,0.008339301657068294,0.009158524417108124,0.02185134288641672,0.026128453392755026,0.02905494953614028,0.03206880598898095,0.03745158045669528,0.053827477209217094,0.07813431945604199,0.07394262052647146,0.0741494803252523,0.07629148349414995,0.07601718229644289,0.0634978229317852,0.0713343853353797,0.06358594061226366,0.07439391963922784,0.05398069033591413,0.058575535465174536,0.03957557067226201,0.03719899183140506,0.035485903405922524,0.035575024937394936,0.025625876440565763,0.023642863795611025,0.019792544808122273,0.02422409489972693,0.021206426278418438,0.018886169280512496,0.016292313730717677,0.014614327887060475,0.01908329504894512,0.011840336544154008,0.014966859097712207,0.008837305211064307,0.010457125784284434,0.013688421116670976,0.005460942558685629,0.011216061399924692,0.009021051854646252,0.011545534764429858,0.0050188625584488365,0.007507006539436807,0.0067747235065968876,0.015729453401494297,0.010496208244771576,0.01077692660014908,0.006463825661387876,0.013019985678015754,0.010415384469714902,0.014874164567756778,0.008285776429037503,0.00654928885638501,0.012461623862876822,0.012770205948594118,0.015372971950238873,0.009442870632672332,0.0108513485814876,0.012580357030532528,0.0,0.008505450576244276,0.0,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01217878455730118,0.013938901149959345,0.018228632624695238,0.01120247350615016,0.027809866084798702,0.02387442054791795,0.022233001859487428,0.011385415283022449,0.0,0.014274159014131418,0.009432479169941834,0.009828975820719482,0.0,0.0,0.005967797763269398,0.0,0.00603624159453358,0.007237548401104932,0.00893096365097794,0.007581829603795248,0.015067372680700847,0.007295618459999167,0.014633483500747354,0.006017148874291732,0.014791148976452492,0.010187449062754686,0.018435256403691147,0.040034080293993864,0.027908419039743657,0.03640607767343748,0.032803735251987355,0.04629884804056661,0.04765876325509353,0.07220658426141231,0.09290763223643737,0.06822950861880302,0.05645393985773608,0.06324884242684614,0.06752110034385746,0.0676515256109347,0.0692051500165804,0.049629964821113176,0.05477424130273871,0.021192854980320922,0.031656498215724645,0.029264581077521872,0.026728188391525756,0.020716515205922163,0.03319094897252367,0.030331917843833954,0.027158742851969765,0.025849223002767385,0.012126172828278235,0.014019346698443852,0.02055693480289062,0.02273588480485032,0.019459330000299372,0.013264163178683015,0.007478984054805995,0.012460088778132544,0.0,0.0,0.0,0.011460567461811752,0.0,0.0,0.0,0.008242935804015958,0.010159676244983661,0.008763627440670243,0.0,0.0,0.0,0.0,0.0,0.009440196356084207,0.0,0.01044015701996158,0.0,0.010890161827804761,0.0,0.0,0.013623050200939991,0.0,0.0,0.0,0.0,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014194867136043609,0.020025747389500786,0.02469745616201531,0.013567784652122002,0.018306396778074167,0.0,0.0,0.0,0.0,0.0,0.010245271807061041,0.0,0.009442335656147905,0.0,0.0,0.0,0.0,0.0,0.009051412020275162,0.01072654462242563,0.012639942217407005,0.010756350728742762,0.0,0.019881075023947658,0.021699426773476065,0.018328109822034054,0.026685982234760396,0.03209113883428938,0.02938830345522482,0.04786870298609528,0.05246839971380873,0.06412469787401964,0.05782962888464246,0.05506332282124443,0.06357745445653502,0.058420521535928624,0.07932077910631923,0.06537575493431293,0.08391776059461728,0.05527111938561787,0.034670056627759155,0.029531786941580755,0.03229278794402583,0.05370569280343716,0.027585515096800076,0.03611132605948051,0.03454323218366371,0.01646000219466696,0.0,0.032026086703351095,0.02188047011752938,0.0,0.0,0.025334895651898535,0.01566956031213764,0.0,0.0,0.0,0.0,0.0,0.0,0.01867832193955695,0.018597731076808628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028049366885718865,0.0,0.04149894177698469,0.02990686148850722,0.029300962745918795,0.02931691586045148,0.0,0.0,0.0,0.020521941375654138,0.02442002442002442,0.018094962362478286,0.0,0.013638471400125474,0.0,0.0,0.0,0.012824129882787453,0.012180564690979074,0.01182396481188072,0.018321309973663116,0.02081069207112632,0.03185437997724687,0.01857527630723507,0.02418730650154799,0.026011492350256567,0.03678544277411286,0.06053879527797396,0.0853418847625944,0.08276775368316504,0.09408167465380884,0.08516213560432362,0.14971660784942786,0.0999925931412488,0.10313075506445672,0.10902440739959204,0.08275291359216605,0.07756232686980609,0.137429264349232,0.07529175555276697,0.05756815658538591,0.03173847496627787,0.06487559151274615,0.04069702911687447,0.04060988666149814,0.04469657899260787,0.042226986292470604,0.04450944236027214,0.03222583867745158,0.028912875867386275,0.02621403761714398,0.0,0.027054447074737913,0.0,0.024431104285913722,0.0,0.0,0.01845427031815162,0.0,0.01924187030979411,0.019539645941615537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023721040562979363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009604302727621975,0.012932786461220116,0.0,0.0,0.0,0.0,0.010187597327938757,0.0,0.009140489320861644,0.0,0.009040501446480232,0.0,0.012421588721197441,0.007460570882883958,0.007557550748953278,0.015216531239538634,0.013662031695913535,0.018604939611466843,0.030903781077614843,0.03638607204442265,0.035585461721365834,0.04118616144975289,0.07278636355942246,0.07518796992481204,0.08505973083320732,0.11282815868474605,0.12356611817039768,0.12712570856952318,0.10448464485464343,0.13435625827556663,0.1111457764604945,0.15385601641130842,0.08793141349747197,0.09934871398609119,0.1045683288673943,0.05154749887239846,0.07339599176333869,0.04818671303764849,0.05507169518836559,0.0504999495000505,0.05864242779651077,0.0337802174601499,0.03314917127071823,0.05042864346949068,0.011573270374742494,0.01904489834785507,0.052440884820747526,0.024287171516005245,0.0187863986473793,0.01169645363525779,0.016435397149632554,0.0,0.012476295039425092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016497113005224086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017140530927945492,0.0,0.0,0.0,0.0,0.011542964563098793,0.0,0.0,0.0,0.007552185602513367,0.014964011552216917,0.02431350114416476,0.013913430634591571,0.01954215522054718,0.01742814242814243,0.019809825673534072,0.0241028387787895,0.03083812665084537,0.06153930310158087,0.1033692797675588,0.06803010332071942,0.10556720378868964,0.10986274481081634,0.11943816288180399,0.16409746394828445,0.17161402137529097,0.20496786520757337,0.1892229706270398,0.1760780377863469,0.14320860720449455,0.13565002294081271,0.12831839791324834,0.1134344969287075,0.1201999114316442,0.106312015342283,0.10146539444672092,0.06407393744053744,0.04590778045063077,0.06286562472714573,0.05172235440157236,0.04511730499298175,0.04273285130677059,0.03300731372583083,0.024593763724198508,0.027945971122496506,0.025708465995609782,0.022067526631492366,0.014176066749022864,0.014511681903932667,0.014788836541102402,0.011082542778615125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027227183620126334,0.0,0.0,0.0,0.03295073864572464,0.0,0.0,0.0,0.0,0.0,0.0,0.045427013930950944,0.024671864206059407,0.049217442661679295,0.03511588241195947,0.06360311655271109,0.0821197853936275,0.05871990604815032,0.11522212264754833,0.033280085197018104,0.056489196441180625,0.0908646117285245,0.08206811653672548,0.10912563088255353,0.052195958541495786,0.07976389885937625,0.05034401745259272,0.09239815203695927,0.05905677887454653,0.07183908045977011,0.0,0.09369144284821987,0.0932690812995492,0.054049880318122155,0.05394158896509209,0.0,0.0,0.060989555538614015,0.046475600309837335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024842663133487913,0.0,0.0,0.020717516660336315,0.017238407171177385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009410878976096368,0.0,0.0,0.0,0.0,0.008417366710998133,0.011595547309833025,0.016690311274305265,0.0333183400802972,0.037895099474636124,0.04205497426235575,0.05370028528276557,0.07626682747734166,0.05537405171936431,0.07523728682768732,0.041912821331630205,0.0554609198589708,0.05377414857598088,0.059772863120143446,0.0822567377945517,0.0451227604512276,0.06002564732203759,0.04219409282700422,0.028714179061620628,0.02458344714558864,0.04091429818340516,0.030920662732871244,0.032285302736800275,0.019226609627724774,0.0,0.01567538516660695,0.01968676174643451,0.01261935809531822,0.010350895352447988,0.012062483665386703,0.00970139117949514,0.0,0.009068485200232153,0.011126358342914365,0.0,0.012154606595899845,0.0,0.012689013429205878,0.010805437296047372,0.011215037121772874,0.013432134142246302,0.013580498404291437,0.0,0.0,0.0,0.0,0.0,0.0,0.013677395823835141,0.0,0.014141271300289896,0.0,0.012593189603062665,0.0,0.0,0.0,0.015722034431255406,0.0,0.0,0.0,0.0,0.0,F
