state,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07426661715558856,0.0,0.066344422329637,0.0,0.0,0.0,0.09193480986209779,0.09971746717633372,0.07944073721004132,0.09645526886906197,0.09075907590759076,0.09766419793277449,0.04011875150445318,0.055087746911151335,0.06926806742091896,0.06451612903225806,0.07439861122592378,0.0,0.04869023273931249,0.0,0.10319917440660474,0.07681966583445361,0.0,0.06875552499754445,0.0,0.06289967501834574,0.0,0.05189413596263622,0.051276792123884724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057247538355850704,0.0,0.05681357032708384,0.05736294353847415,0.0,0.12048192771084339,0.18979833926453143,0.1948861864671032,0.19244092063736432,0.1983370203676863,0.2728306176582039,0.20380967312063963,0.26399565183632273,0.20400156924284032,0.09264263105072185,0.20322025949663908,0.11199104071674265,0.14077509108976483,0.17269587347754956,0.11684518013631937,0.06311803071744161,0.17465342211548956,0.07743362831858407,0.16512549537648613,0.13774104683195593,0.16532140425945735,0.06967253906638797,0.11013215859030838,0.11756637601645929,0.0,0.0,0.0,0.03751782096495836,0.03638215818962381,0.03481651695564376,0.0,0.035293287216771364,0.035278346151132435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Illinois,0.0,0.005218171761341697,0.0,0.0,0.0,0.005853258801837923,0.005531075425431885,0.004239443784975412,0.0036777415724551865,0.014085446768131307,0.019510133075366018,0.018312579077046014,0.02631492385118911,0.026274457140521637,0.029569577832673152,0.04244938956582047,0.05011703802409156,0.04855073272542607,0.050620233941683315,0.05159230134248599,0.06354454575982228,0.06548084940939343,0.059229717523605514,0.07025391773122858,0.06426167747505568,0.07423225053866585,0.0786648343911002,0.07739938080495357,0.07849933734325619,0.0725491020734323,0.07918334153701287,0.0761601539236795,0.06859119646904449,0.06531598146504979,0.09928489738465986,0.08129420372327453,0.07903373714947633,0.11533278042712004,0.08934811900593012,0.0881010020531364,0.0974023483936282,0.11027483882908172,0.08015599589971252,0.05600316604565378,0.0463089490146063,0.05069414772274646,0.05022356461749873,0.049828093078877866,0.045852826755124414,0.041051204046475824,0.03596911060868544,0.039487828242572263,0.04457135950200949,0.04665526204705516,0.037997252506357236,0.03109870304272538,0.03552100963246202,0.02138122728244601,0.02798479983503697,0.023155064236629816,0.022053567354636573,0.016382827676056887,0.02323327004270115,0.011481338724095229,0.005772767382214929,0.007528293837673255,0.005838782864006406,0.005927883068272276,0.0,0.012245576285566839,0.00449038608339545,0.0,0.0,0.0,0.0,0.006214332321778128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012576638893255776,0.02293427691501212,0.016990909863223175,0.024284615695956614,0.04416170344819355,0.04822375823822536,0.06277691258314923,0.08805683888011001,0.07144770920782352,0.08015077009726404,0.07103189978044686,0.08650519031141869,0.10347963332671344,0.08524294238579953,0.09762158324458645,0.09576202118989405,0.09217628201845575,0.11086360696798299,0.14471032094681896,0.09743979612596504,0.09841120575596207,0.08267651435815467,0.08340283569641367,0.0783257863174642,0.08663008951775916,0.09397649300325699,0.07401738781347618,0.07995608382261683,0.08377618005626758,0.09664503658704957,0.08938998543808302,0.08174347147006876,0.0843819393042191,0.07417499243112323,0.0618740646943709,0.059992391208919846,0.04923613651070534,0.04557633345302876,0.030304779496652043,0.03322067192419909,0.0422469333252863,0.03345193565064015,0.015157716035347794,0.04205804009533156,0.02055693480289062,0.02273588480485032,0.022453073077268508,0.02652832635736603,0.022436952164417986,0.009345066583599407,0.011050944855785168,0.0,0.011306370332084249,0.0,0.0,0.0,0.008292561572269675,0.0,0.0,0.008763627440670243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01763535132139168,0.02081815342979078,0.0245886523369465,0.025178950397467717,0.04343474401828036,0.0423892810409333,0.05646938812685575,0.05517907333643715,0.04611319014596598,0.07627903597827865,0.08146270818247647,0.08044908466819223,0.0866738894907909,0.10756350728742761,0.07220350279557153,0.07771692963906812,0.11030541943183668,0.11913271384322134,0.11055621211543594,0.09426772032572506,0.1007598975607708,0.09573740597219056,0.08108752683043167,0.11345138854634243,0.088001609172282,0.1226410371927717,0.11003790194400292,0.10621913006532477,0.10869884544199301,0.12452524749392939,0.10190013786489241,0.0843611822201536,0.09534265572633768,0.08859536082474227,0.051130247578040904,0.03836120914531226,0.04513993379476376,0.05416698908922077,0.03188606047722804,0.027433336991111598,0.014037451921727168,0.020380236993041603,0.031257814453613406,0.01924310455420141,0.03222791582068388,0.0,0.0,0.0,0.0,0.0,0.0,0.01807468459675379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0209564524917222,0.0,0.0,0.02394226493826316,0.020931449502878074,0.0,0.024404380586315243,0.01636616568015057,0.048376540223670356,0.058407965733993435,0.06368192264030789,0.08720408320295467,0.09988063046602841,0.10168609738217418,0.08015573113477613,0.10174116123661757,0.10011376564277588,0.08126683384415344,0.07981811145510836,0.08276383929627089,0.16185594820609656,0.10846534153970337,0.13447812144408813,0.17381228273464658,0.1234821979831241,0.11464133639043562,0.10694043417816276,0.12221316939485966,0.13259668508287292,0.14067665470915103,0.1379215226536101,0.11449676823638043,0.14551333872271624,0.1003890074036893,0.10280027961676057,0.11108466238197254,0.07250801404365746,0.0665951385548855,0.07383615756636025,0.06532576929688842,0.0519716754368869,0.054047180008901886,0.03222583867745158,0.02570033410434336,0.019660528212857985,0.02347024308466052,0.016909029421711193,0.0,0.01745078877565266,0.0,0.017615558060879367,0.01845427031815162,0.0,0.0,0.019539645941615537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00958552202752962,0.011898387768457374,0.013014690331711919,0.03056279198381627,0.0226421929718633,0.03046829773620548,0.032248157248157244,0.05273625843780135,0.03056608387333415,0.037264766163592325,0.05670033870991808,0.061971916141416894,0.04717124684256977,0.06375614791426316,0.05581481883440054,0.07416907458627564,0.0775181534859439,0.0921986962780842,0.10378912685337727,0.08294260033515581,0.06664388243335612,0.07749886587025556,0.07253238772590816,0.057664188479518916,0.08127709236412137,0.07375386695621888,0.07983487810577147,0.07409718430699633,0.06410667350471183,0.05935370411079358,0.10155646318578208,0.1045683288673943,0.03651281170128225,0.06524088156741219,0.03771134063815969,0.018357231729455196,0.04241995758004242,0.01675497937043165,0.029557690277631162,0.01988950276243094,0.05730527666987577,0.0,0.01904489834785507,0.0,0.014572302909603147,0.014089798985534474,0.016375035089360907,0.025827052663708296,0.016869908902491928,0.0,0.0,0.012861736334405145,0.01552553951249806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020660208438547358,0.014997964561952307,0.012261413332243431,0.030969979766279885,0.019441804199429705,0.030679275247238867,0.06925778737859276,0.06656903208627346,0.06258525234694695,0.06960593548795342,0.10422016131468446,0.07781286007152798,0.1072654462242563,0.09600267137868183,0.09491903964265774,0.11127198627198627,0.14263074484944532,0.11917514729512586,0.15419063325422683,0.14495924730594606,0.15365703749231713,0.1459812633757104,0.11876310426227586,0.11279241800577146,0.11306812752810778,0.11437095972153158,0.13423274939255433,0.14069828035435122,0.13367127282827582,0.1302977479618967,0.12117651378841846,0.10772207704123361,0.1135933358576297,0.13055668514436147,0.130743763311613,0.12924205786708914,0.13853928857148434,0.09902335786264878,0.09732449455533725,0.10302977385837772,0.07585945312230612,0.056814384065236284,0.0940122728748953,0.07991244375727465,0.1124286341677646,0.09501630181648812,0.09294599244566615,0.0662025798944771,0.06277972417424411,0.07255840951966333,0.057042655229966405,0.048763188225906556,0.04623422257154746,0.03605855909997836,0.03455169179890915,0.030627089660804983,0.058522683901172996,0.05638712323149477,0.044018643190056966,0.039586192336113164,0.03601407319167798,0.04837929366231253,0.028530670470756064,0.020267531414673693,0.02461084107549375,0.01795278417761288,0.02073643984951269,0.03111290874583865,0.01905185279268409,0.016965830816735094,0.0342301636201821,0.027655823279289244,0.01710863986313088,0.027156386842730577,0.0,0.017605013907960987,0.0,0.0,0.021270259922576255,M
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039925472451424006,0.0,0.0,0.02981159074648223,0.04529441368897836,0.038118057068176864,0.027461965178228156,0.1416912264792564,0.0902374372567819,0.05491789774287441,0.10294755093194624,0.10457516339869283,0.12109724635391986,0.06200909466721786,0.05547150781643974,0.07628152969894224,0.085806581869574,0.09375308398302576,0.08859139679102274,0.08026487408447879,0.026501298563629618,0.08759443775320268,0.03523194362889019,0.07041351939572398,0.05324813631522897,0.042366897330885465,0.14678129586915495,0.11626316509369443,0.11594598281271314,0.1193050480948475,0.0957166786312515,0.10068803490518544,0.09239815203695927,0.09280350966000168,0.13569604086845466,0.05671690163668773,0.0,0.0388621172081455,0.0,0.046235647684364646,0.0,0.03796218965909954,0.0,0.06196746707978311,0.0,0.0,0.0,0.0,0.0,0.04106776180698152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010410160316468874,0.011124460463667513,0.02242403856934634,0.026315212385693294,0.026255200549339584,0.025073291158771795,0.03387916431394692,0.023186544669770097,0.042277339346110485,0.03587413304178482,0.03309450134860093,0.02356862679079477,0.03478664192949907,0.03338062254861053,0.05664117813650524,0.05512014469037981,0.04373717323284998,0.05202215136767914,0.04966212021780387,0.046145043099470255,0.04437070761632842,0.039916972696790676,0.06734540268589312,0.06174068910575583,0.0789855691230467,0.10886921178690666,0.0822826808228268,0.08458159395378025,0.08438818565400844,0.09188537299718601,0.10106528270964216,0.05182477769897987,0.036074106521683115,0.06208712064769284,0.052873176476243115,0.07936148020497936,0.04478681476173414,0.03937352349286902,0.039961300635174356,0.03933340233930235,0.05227076255000905,0.013581947651293195,0.029706095319433357,0.03808763784097504,0.03337907502874309,0.03277234784955565,0.02430921319179969,0.01445295562942622,0.029607698001480384,0.01944978713288527,0.022430074243545747,0.011193445118538583,0.0,0.011145290000445812,0.0,0.0,0.0,0.0,0.0,0.011397829853195951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031160904308717,0.012983640612827837,0.014191039777484496,0.010123653192566346,0.018142029412765184,0.016373646615771915,0.019731433269388875,0.030337078651685393,0.034921707784161315,0.026884033035099793,0.03817463347193133,0.027939030826064012,0.039018338619151,0.05178208535250899,0.04440068724541998,0.05965419210514051,0.047837913891755,0.05882297131905769,0.07569879449669764,0.056208721719986886,0.062417102286026364,0.08527071000117614,0.10643318305503398,0.0946838728895603,0.11308797348590878,0.12934369622709058,0.22370557459859283,0.2508001719772608,0.2294395967569367,0.31368279151760253,0.32689844060608736,0.365026942464801,0.31358770604846653,0.3322540726551508,0.28150298113405486,0.21804677784781015,0.20248038471273097,0.1549723028224743,0.14623172103487064,0.14199615032659116,0.13280622645005868,0.12760592829469283,0.10807565295706996,0.1064411265498691,0.10251967366977115,0.0968489016773107,0.09216970230561823,0.0819228075738957,0.048768914430326354,0.0812825831044341,0.05848954321093327,0.040176777822418644,0.034966629672986,0.031184220784283154,0.03511123878834307,0.031066056245912358,0.031156223865667482,0.03840630531342885,0.026825383519155,0.015388034947937147,0.026161573880284637,0.016061963485803007,0.027742842346674557,0.015471493772723758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Michigan,0.0,0.0,0.0,0.0,0.006123023794070464,0.00620055060889407,0.0,0.006462731581214994,0.006486226035711307,0.010068465565847765,0.01312852829197847,0.017390059023906217,0.02631059659277774,0.03746536221229429,0.03603630105755512,0.053763055461968016,0.045294904671646784,0.06918312190454022,0.05857529760030232,0.05157202585968725,0.05969310720179782,0.05680840075744534,0.06218392132908501,0.07355545263846133,0.05123095024968051,0.07207020214250297,0.08008856853461475,0.08606263447286637,0.07696820960588492,0.09077352006743175,0.066855096542731,0.05463677054657784,0.0678565117511928,0.07844162635638645,0.09102507666251335,0.093279503286645,0.08409121423473462,0.11252613571564342,0.0848219587086705,0.09737272313093505,0.09080486127035083,0.10064374014925657,0.07313388312050732,0.060445095704734865,0.061956739617690465,0.0404473832301632,0.03731764256641239,0.044299143254569455,0.039504754038014345,0.03922154570243921,0.03218745976567529,0.019883770324376597,0.03236006582961963,0.030075462068462688,0.02022504964330367,0.0253833765142497,0.01639117981986956,0.018830365309086997,0.018027591703512532,0.009791442279447763,0.009091827457318923,0.012486213139658293,0.014893141708243355,0.0,0.0,0.0,0.006640106241699867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
