state,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061919504643962855,0.04801229114653351,0.054975261132490384,0.12768883213829682,0.051493305870236865,0.07338295418807003,0.07332146223944694,0.0934094447327452,0.12306430109732336,0.33397429409978746,0.3057792273978188,0.28132221440771626,0.23721415694088624,0.22258782541372302,0.17532527452246932,0.11594719942918301,0.08219178082191782,0.12298959318826869,0.08953442101074413,0.11683380391393243,0.05770340450086555,0.05721914934197979,0.10031919744642043,0.06660323501427212,0.059517904969745065,0.08221148905559553,0.1171708564124414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07479431563201197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.055357848952155,0.06236357966947303,0.05388345777846201,0.06102677549774964,0.04547176960970064,0.07054950223406757,0.06211662396148769,0.10984699882306787,0.10036285030494865,0.06252931061435048,0.07999360051195904,0.0,0.09089256498818396,0.08763388510223953,0.08415737428992215,0.0,0.11061946902654868,0.14310876265962133,0.10595465140919687,0.1166974618302052,0.11943863839952225,0.09010812975570685,0.10776917801508769,0.16420361247947454,0.11266140913424041,0.2441207584018228,0.1575748480528251,0.15280506439642,0.19497249495160504,0.10979208124614012,0.15529046375379404,0.06350102307203839,0.05947955390334573,0.1077171654997307,0.07249879168680522,0.05165289256198347,0.04513042693383879,0.07358351729212656,0.054392167527875984,0.0702247191011236,0.043782837127845885,0.0,0.0,0.0,0.05176429988784401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.002919384126724626,0.0,0.002989393631395808,0.004127285484336951,0.006138598390571113,0.00979746463387419,0.007603075987313725,0.010332446465011753,0.008696675312185065,0.011352362525357722,0.014337534230862977,0.01373532037634778,0.018317048834216247,0.017481074309133378,0.013803711226361145,0.013253134876134163,0.024708752155444335,0.031031309521261794,0.018324247560584546,0.023261362280806393,0.022182786157941437,0.031419271324259444,0.038145741747074975,0.04162845697186158,0.05183495749533486,0.05404120101165129,0.053626696901909104,0.07669476251466786,0.060921064807674515,0.06474138130361395,0.11499316761374244,0.1859949591570253,0.14339201784434,0.13253440662951052,0.08186043862958507,0.07522729389512599,0.06230986328482938,0.06606571336289162,0.046800389028233795,0.049104040129332484,0.04221190375685943,0.029959372168473972,0.026857970809626465,0.030645576937810372,0.027795595467179815,0.012519515715674433,0.01568568867642665,0.01292795327685592,0.010921885117371258,0.012017208642776457,0.0057406693620476144,0.004123405273010663,0.005855339651523643,0.007507006539436807,0.005081042629947665,0.0,0.0,0.00449038608339545,0.0,0.0,0.00662797193527312,0.0,0.0,0.00654928885638501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Indiana,0.0,0.0,0.0,0.00603624159453358,0.0,0.005581852281861212,0.016246777722418386,0.009686168151879117,0.006253387251427857,0.013588234679265399,0.011031439602868174,0.012818995779592158,0.030562347188264057,0.017411075492374972,0.019503782707330344,0.02067290299240271,0.024627640779090063,0.03171027741025445,0.04629884804056661,0.04527582509233886,0.04895361644841513,0.04268729048701177,0.04634457189201715,0.061472067845090385,0.05966871927060958,0.06502031884964052,0.09802567996686457,0.0764140198099742,0.11239727327134452,0.10658771280532939,0.09385407205570694,0.13669851502244734,0.22094758713529014,0.20116478631516752,0.143634505427727,0.09235742322789195,0.10110639281277986,0.09807323807655749,0.08819146671532402,0.060630864141391176,0.06542361792607132,0.05534559370009014,0.03183023872679045,0.04041553153908332,0.02800212226610859,0.025428545786340385,0.02336266645899852,0.01736577048766241,0.012957773854451805,0.020997544902442176,0.013097791384927717,0.0,0.0,0.0,0.009891522964819151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Iowa,0.0,0.0,0.0,0.012901085534197092,0.018215931653824437,0.01724346041763661,0.02305659507298299,0.03632335046584697,0.025343953656770453,0.03039187643020595,0.03972553268327916,0.05736720388662806,0.06294664346280594,0.08675378192268068,0.05605685249814651,0.04765308553728854,0.03240440699935191,0.06017088531429259,0.0755699231705781,0.09573740597219056,0.05962318149296446,0.05919202880678735,0.07291561902846223,0.0775892276117535,0.07091331458613521,0.09028626055552605,0.06463174593848232,0.08094141087105411,0.05994125756758376,0.06981615080288574,0.08667514156939789,0.14497422680412372,0.1722282023681378,0.12531328320802004,0.09278764168923663,0.08769893471588125,0.07174363607376308,0.06584000877866784,0.08141722114601757,0.04658339884123795,0.05626406601650412,0.05131494547787044,0.019336749492410325,0.025334895651898535,0.03760694474913034,0.029127156218647855,0.029859659599880562,0.020342430920494998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.02679724232015396,0.01655355073663301,0.013740982480247337,0.02774758942816843,0.027303754266211604,0.03715055261447014,0.031443498452012386,0.028376173473007166,0.022071265664467713,0.05549389567147614,0.03620564808110065,0.0689731280693042,0.03822068032810984,0.0491320013101867,0.06772894164616974,0.0518480112584253,0.07366482504604051,0.09847365829640572,0.0655127232604648,0.06278855032317637,0.1091350040420372,0.16731501233948218,0.07812821250873803,0.09521542489883361,0.07250801404365746,0.14428946686891858,0.1550559308893565,0.14096613374591715,0.14292210745143896,0.10173586825205061,0.0773420128258838,0.07710100231303006,0.05570482993643096,0.07711651299245599,0.06087250591816029,0.03154353007149867,0.027921262041044257,0.027791287431390258,0.042277339346110485,0.03690854063630324,0.0,0.03078699249567058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009129918743723181,0.0,0.0,0.0,0.012656025058929618,0.0,0.009884678747940691,0.015234355163600048,0.01879699248120301,0.009451081203689702,0.016118308383535146,0.012356611817039767,0.03334444814938312,0.06965642990309562,0.046732611574110135,0.04289836986194524,0.08974934290659657,0.09892284018465597,0.08389446958825478,0.11763936997581859,0.13531218454004595,0.20795530999612633,0.29331042718568645,0.26516001386990845,0.22825977174022824,0.1675497937043165,0.15834476934445266,0.11712707182320442,0.13065603080731675,0.11804735782237345,0.08332143027186592,0.09534706331045004,0.055860494486812066,0.04696599661844825,0.03742865163282493,0.03287079429926511,0.028919843832843302,0.024952590078850184,0.017658930373360242,0.0,0.02587589918749677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006703131703131702,0.0,0.01339046598821639,0.008044728691524878,0.013675400689240195,0.01117505727216852,0.007086469095908273,0.017594533964781608,0.007324182987387757,0.015925088384240532,0.018233051549809382,0.02548723089732044,0.05211047420531526,0.036455801680438854,0.07571355624812917,0.09180038923365036,0.1196911967124818,0.12831839791324834,0.1134344969287075,0.10965605955167541,0.13966480446927373,0.2809810923139964,0.3475525697532183,0.2717740602677342,0.27765650921156027,0.21895796696665631,0.18715326515607247,0.1213612977112285,0.11813143859771033,0.1282389108476065,0.10433162552398696,0.08503569521624775,0.0742271350332016,0.050628809817938804,0.06011982503057819,0.04436650962330721,0.042113662558737476,0.04392251144297009,0.03605855909997836,0.022211801870727313,0.028074832189071232,0.0,0.0,0.0,0.013195397445371054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03419504855696895,0.10912563088255353,0.06710908955335174,0.11166945840312675,0.06712535660345696,0.1511969760604788,0.13498692314182062,0.23148148148148145,0.267379679144385,0.2654590880699563,0.1943105860407275,0.16214964095436646,0.16182476689527625,0.14550467146576812,0.0987016931136588,0.08386063886559426,0.10844306738962044,0.08511955428306121,0.09994618282463288,0.037218996575852314,0.07507507507507508,0.07007162877608222,0.0,0.0,0.04598123965422108,0.04870920603994155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010569334836527621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015103205235777815,0.0,0.0,0.015433289605679452,0.027941880887753474,0.0277304599294854,0.03584943238398726,0.03202117667150542,0.06048289543717037,0.06370272063702721,0.07093940138058989,0.07032348804500703,0.09762820880951013,0.16115815350996995,0.23730292946374992,0.21386791723569273,0.13410818059901655,0.09132639573169267,0.07029159675298173,0.10524901469007525,0.07218479307025986,0.039961300635174356,0.05589483490321913,0.04020827888462234,0.05044723413337472,0.027849464361968772,0.0235780615206036,0.0315246819715907,0.015422281340967363,0.01823190989384977,0.010323539735304442,0.019033520143808817,0.012966524755256845,0.0,0.011193445118538583,0.011317082003576198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
