state,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06115584547956376,0.10047221943132723,0.0569313976658127,0.0870995838575438,0.16609762849497095,0.14270424545130217,0.1917808219178082,0.17975402081362346,0.1392757660167131,0.272612209132509,0.17311021350259664,0.1907304978065993,0.1823985408116735,0.09514747859181732,0.06943755579803591,0.18497585037508993,0.17043033659991477,0.06967831842991523,0.09667673716012085,0.0,0.0,0.0,0.0,0.0,0.07538067239559777,0.11648223645894001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04333131120547708,0.0,0.06002851354393337,0.06548788474132286,0.06266973052015876,0.0480340355451863,0.12705583398037693,0.13405771537430325,0.11152416356877323,0.16926983149957683,0.28999516674722087,0.17217630853994492,0.17149562234858742,0.19315673289183224,0.11784969631039796,0.12289325842696629,0.10507880910683014,0.08588114050154586,0.08662508662508663,0.08855827134254339,0.09490121646104736,0.05958968247212054,0.0,0.08376612497905847,0.050175614651279475,0.0,0.0,0.04119294776734223,0.0,0.0,0.0,0.04586104104563173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.002790271995714142,0.00326582154462473,0.0,0.0,0.0035809839520762033,0.0,0.003345424653868028,0.002452735781490675,0.0028921656054025652,0.005341439372235198,0.004929896866557551,0.005607095524518299,0.0036800269167683057,0.009095383825197423,0.002863163681341335,0.004771561493498748,0.004929508035098097,0.004398697985396323,0.008129420372327454,0.009049664559100341,0.009071117561683599,0.012249338895974292,0.018386296080654552,0.020707585878960325,0.017736512538943212,0.02080972970473306,0.02314797529887023,0.03568066563420485,0.02534707386137323,0.030692178377360334,0.051251752881131526,0.12036367023220157,0.11582303998827108,0.11304577619872566,0.20182667768425824,0.14504578007433597,0.11182451696992587,0.10668459357554147,0.12086086864331907,0.09750865389303301,0.09621552277100706,0.07658997849589066,0.0664774424858082,0.06996304126298498,0.06163063744802353,0.044063098356847005,0.03444401617228569,0.038760009566300234,0.0409873775606655,0.036700920859468834,0.0389546601629321,0.0270896141914624,0.027989888652724202,0.037719243100521785,0.03416593563876448,0.030689966241037137,0.035980419077196936,0.01884060845249192,0.022785885179853135,0.021830962854616703,0.014727373656127155,0.02089670064315401,0.020103117165696988,0.0,0.0108513485814876,0.016354464139692285,0.009337068160597572,0.007087875480203563,0.009029345372460496,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005168225748100677,0.0053538349519761,0.0,0.007716474673427768,0.008340283569641367,0.0,0.006277542718678201,0.011586142973004287,0.0075271919810314765,0.009546995083297531,0.01000312597686777,0.008283860278889962,0.024510157297538894,0.023355277562876784,0.01924500370096225,0.02573418104753255,0.04316795211235179,0.03950718445465453,0.040795655966013,0.04557633345302876,0.076483491110598,0.08955137649131929,0.09656441902922583,0.12468448742511329,0.19401876525245176,0.12773182547471065,0.15338635968310696,0.12277377794619174,0.12723408077118822,0.08548016270706832,0.07329404373709875,0.05762791059886302,0.06630566913471102,0.05669026061322664,0.02907352371107378,0.037656150231667185,0.028280542986425343,0.0415020419004615,0.018243635458993285,0.014837284447228725,0.016932793741639432,0.028043607810144772,0.017381026871067542,0.026348146847005094,0.016080042880114345,0.0214799699280421,0.018197037522291373,0.01510431416973473,0.01191090641997856,0.016704251231938527,0.01273425727444447,0.013068194193365714,0.020034726859890477,0.0,0.018164066934586654,0.0,0.017250301880282905,0.0,0.0,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010844222740335085,0.009041427822281694,0.0,0.0,0.012034177062858519,0.01259498719509635,0.0,0.0,0.0123316726680807,0.012571658453183143,0.0,0.017117006969067122,0.0,0.01762683980140427,0.01867878712408941,0.023976503027033507,0.02909006283453572,0.017335028313879577,0.018792955326460484,0.03498385360602799,0.05626310674645798,0.04764770789447287,0.06190513038768088,0.10097252484455546,0.08504334467244595,0.12072208652685365,0.1455731213788686,0.09689922480620156,0.1250801796023092,0.08379258113377808,0.10450644456408145,0.09715127393525337,0.04854526036441309,0.06303705915530342,0.05763688760806917,0.04217629692113033,0.04699417995155984,0.039626787708490936,0.022413986327468337,0.0,0.0,0.018698578908002993,0.0,0.0,0.019883087445818588,0.024267917812651675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025597706445502483,0.0,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03703429375601807,0.0,0.0,0.020688228398041512,0.0332409972299169,0.03233629749393695,0.05019450370184465,0.0,0.023803856224708403,0.0,0.06289540863516964,0.07014434968804224,0.05844937252879491,0.06496459429610862,0.06358491765753163,0.0999000999000999,0.1317142122847597,0.1441772068942919,0.18440905280804692,0.14541765302671625,0.11916444693677274,0.15007678347061287,0.12506079344125615,0.13035512965050733,0.06274451908171551,0.08214165702124482,0.0692707331152588,0.0547110086365235,0.043819463809106486,0.048981591085350426,0.028480755146879325,0.0,0.03554923569143263,0.02354233696931649,0.019911592529170484,0.01990128960356631,0.023721040562979363,0.020219175866391687,0.02858659696982072,0.0,0.0,0.020994289553241518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009884678747940691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017549333125341238,0.042737782336474565,0.02418113871180479,0.03090848879567281,0.026142082216848574,0.03866062415429885,0.06931843666537545,0.07332760679642161,0.04487323311644604,0.0504999495000505,0.09634113137998199,0.1477884513881558,0.11933701657458563,0.09627286480539128,0.2083188667453649,0.1595010236632862,0.1597063310450038,0.11900714042842571,0.08688709374412926,0.05614297744923739,0.03521870817778404,0.06024967465175688,0.054895698173470404,0.037840565085771945,0.033440514469453377,0.02846348910624644,0.02586117720078618,0.023073373327180433,0.01562825588664305,0.0,0.0,0.0,0.0,0.0,0.013868086758750764,0.0192466318394281,0.013777900248002206,0.0,0.0,0.0,0.0,0.0,0.017275334277718275,0.0,0.0,0.0,0.0,0.0,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007324182987387757,0.00955505303054432,0.00828775070445881,0.0,0.017370158068438425,0.019095896118325115,0.02465092529008857,0.025704108985422098,0.03191765245666181,0.016828642349278472,0.03638464995826467,0.03795786676788764,0.045860085049612274,0.04878143963784659,0.08154864765159311,0.08997924968323631,0.09953723915131407,0.14137443536429778,0.21723146848472694,0.24955985163154026,0.23973733127182392,0.2652613087395696,0.2626921285514672,0.2135780251942967,0.1905831845447068,0.16606249620283925,0.11194726040176628,0.07605687363995521,0.11304193634187427,0.06703962272874382,0.08894444577994663,0.054295515684000095,0.022970317245603736,0.04580036131396148,0.061513225343448844,0.031071983428275506,0.03166895386889053,0.03324375986924121,0.017075044821992656,0.014265335235378032,0.031848977937344376,0.015381775672183596,0.02094491487388169,0.01777409129958231,0.02800161787125478,0.0,0.0,0.01711508181009105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463284688441047,0.07705941280727441,0.04594884362076888,0.12147900690911852,0.12960280551955478,0.11618900077459333,0.09285769558152132,0.0691935111862843,0.13398838767306834,0.06006006006006006,0.10121457489878542,0.06570841889117042,0.0526592943654555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009979243174197669,0.0,0.013941445927106152,0.010673725557168473,0.0,0.0,0.016370631087828436,0.0,0.0,0.03277792952745152,0.049097157820086196,0.03865082841608905,0.027318333084984853,0.0672931336970367,0.14965307695796107,0.1209243998566822,0.1465570041123458,0.19139359777899298,0.1614739674981886,0.1166040087654048,0.10089446826674944,0.11325448840533968,0.09793964016250727,0.0945740459147721,0.07518362153721589,0.07495340734138238,0.04542357483533954,0.04018187585915195,0.04106066172498001,0.03588811878967319,0.033580335355615755,0.027160996808582874,0.03343587000133744,0.022834178197926658,0.020817912657290896,0.013636673560762745,0.01855330596720703,0.02320993385168852,0.015956961794474332,0.01838235294117647,0.014141271300289896,0.02213368747233289,0.0,0.02566537484279958,0.0,0.0,0.0,0.018804061677322303,0.019299164621874226,0.0,0.0,0.0,F
