state,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046416635722242854,0.0,0.0,0.0,0.05142710208279763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08064516129032258,0.10746466065966769,0.1236639872802756,0.1265946051222125,0.07976867085452188,0.13415892672858618,0.18244670635682733,0.1832508704416346,0.14733326785188097,0.17507723995880534,0.09434951252751861,0.14664292447889388,0.1141670991177997,0.0922982258229925,0.08096346523631212,0.14269697278564877,0.07033055360192907,0.09488566277635449,0.11613277847672505,0.08304881424748548,0.16054227613271496,0.136986301369863,0.14191106906338694,0.1293274970155193,0.09736150326161036,0.1154068090017311,0.09536524890329964,0.0,0.07611798287345385,0.0,0.07193505292364608,0.08521516829995739,0.08129137150156776,0.0,0.0,0.08137800081378001,0.0,0.07129616426636247,0.0,0.0,0.0,0.08975317875841436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047746371275783045,0.07304601899196494,0.10653118085716627,0.12948126567937202,0.09638554216867469,0.2530644523527086,0.22606797630183975,0.21553383111384805,0.1525669387443741,0.09094353921940128,0.13326017088657208,0.13199782591816137,0.12553942722636327,0.1158032888134023,0.1563232765358762,0.09599232061435085,0.09937065253395165,0.15451736047991274,0.1655306718597858,0.1683147485798443,0.1964850998799258,0.16592920353982302,0.20915896081021576,0.13774104683195593,0.18477098123115823,0.1492982979994028,0.16019223067681218,0.1273635740178309,0.10946907498631638,0.13866019585752665,0.07323622752054683,0.08253920612290838,0.06548788474132286,0.06963303391128751,0.10293007616825638,0.07764523187689702,0.06350102307203839,0.05204460966542751,0.08463491574978842,0.08860963428387304,0.0,0.04513042693383879,0.05518763796909492,0.07252289003716798,0.0,0.0,0.0,0.04331254331254331,0.044279135671271695,0.05176429988784401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.0,0.0,0.0,0.005148838201437261,0.006672053732272724,0.01788428865241885,0.019977358993141108,0.028946416236308014,0.02919384126724626,0.06283535289443044,0.05620060027024119,0.05660277235662105,0.08705648626628124,0.07130377039097327,0.06299691532345657,0.044946142122801125,0.041948669152892665,0.04787735499824779,0.03775550680793917,0.044639791223130276,0.04241842887923763,0.04176034418292973,0.048312989292264005,0.05148333163421348,0.07149766581149851,0.07864831895906008,0.12540656924275045,0.14493618036502445,0.15712806861875184,0.14515703351807865,0.15633500716014334,0.15927409624016603,0.12310802405142028,0.1224933889597429,0.10955168081390003,0.10430487701994831,0.07711527190844875,0.06551211203341889,0.0746708880608717,0.08730375633901187,0.0818348384667193,0.07673044594340084,0.07687762932169728,0.07164504180488189,0.06011069163948246,0.06679977684470152,0.061425510599556865,0.07252289003716798,0.04591470233202254,0.061380177125653995,0.05230236420821995,0.04457538463681509,0.037060793956239756,0.0316670103396471,0.0268897520167314,0.030418713592602165,0.015602693024816084,0.021630975556997622,0.017222008086142843,0.01237021581903199,0.014220110582271704,0.010843453890297611,0.012702606574869163,0.007864726700747149,0.004373420101988157,0.00538846330007454,0.009234036659125536,0.0074399918160090025,0.0,0.004958054855918926,0.005178610268148439,0.00873238514184668,0.0,0.0,0.007095217823187172,0.008262511803588292,0.0,0.0,0.0,0.0,0.0,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012142307847978307,0.014322714631846556,0.029676158915830995,0.03259570461048133,0.03136270973812137,0.03795659551665625,0.04874033316725516,0.0441258771363382,0.026055780214282738,0.020904976429639077,0.031088602517173942,0.023665838362323985,0.025468622656886715,0.03379797007343377,0.040034080293993864,0.039278515685565146,0.041759912625413585,0.0546728920866456,0.08488122140770545,0.10127487191707374,0.11014563700893402,0.11676229456741452,0.0926891437840343,0.11918053969966504,0.1133705666141582,0.11753673022819631,0.08421924616871461,0.08362288960336799,0.06714642299327077,0.06069578090303479,0.045413260672116255,0.034534361689881436,0.05706593310116766,0.03798216245111555,0.033146424329475455,0.049064881089817595,0.03610942600456423,0.05129984760927622,0.04865736094638567,0.036378518484834706,0.04205804009533156,0.030044750865763213,0.04698749526335733,0.038918660000598744,0.047161469079761834,0.03141173303018518,0.01557511097266568,0.01894447689563172,0.016197217318064755,0.020997544902442176,0.016372239231159644,0.01663561352142667,0.00996049005611076,0.008292561572269675,0.0,0.0,0.012269078416938337,0.0,0.0,0.0,0.0,0.009098518761145686,0.0,0.0,0.0,0.0,0.0,0.011130403811050264,0.0,0.0,0.0,0.0,0.0,0.0,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.012284710449374708,0.012596679515279773,0.02081815342979078,0.034833924144007544,0.05215639725189741,0.08686948803656072,0.06450542767098547,0.09836603093065195,0.09139034021347404,0.11350939112853164,0.08899220864132507,0.0778421433743664,0.0929633867276888,0.09389671361502347,0.09680715655868485,0.08331173399489021,0.09217589329284824,0.08498942152944793,0.06414838437711919,0.11818077846822463,0.12635885916001444,0.18472647886141316,0.21654889446090722,0.21464345337467208,0.2638977950969269,0.26651915920748265,0.287831005656505,0.23719281085707297,0.22571565138881514,0.2085842709832839,0.13697777224332233,0.14985314391895943,0.11636025133814289,0.07511845602681151,0.09664948453608248,0.1076426264800861,0.08695207406270779,0.07774099709098205,0.05674636952204081,0.06908646436732742,0.046636672884889714,0.07018725960863584,0.06987509826185694,0.06876719179794949,0.09300833867864015,0.06445583164136776,0.05383665326028438,0.034473032686702806,0.05178161105537396,0.05640157924421885,0.03390405153415833,0.03163222269084774,0.01807468459675379,0.021614611477358693,0.0,0.022317277292170354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025031985314568614,0.024919013207077,0.028213085742132396,0.04141391994932885,0.04020148036039445,0.034352456200618345,0.018498392952112287,0.02502844141069397,0.039472462152874525,0.026606037151702785,0.018917448982004776,0.041690168477327906,0.04540409645848048,0.03620564808110065,0.04414280196435469,0.05880104665863052,0.13101867016049787,0.15684597012797205,0.12221316939485966,0.10313075506445672,0.0844059928254906,0.11723329425556857,0.110803324099723,0.09700889248181083,0.1003890074036893,0.032896089477363374,0.035705784337062604,0.05724316898183484,0.07029486847460135,0.029534463026544097,0.027505587072374073,0.02598583771844345,0.02225472118013607,0.01611291933872579,0.02248779234130044,0.03276754702142998,0.036881810561609385,0.043963476496449105,0.05257255011916445,0.048862208571827444,0.034739109289237825,0.02818489289740699,0.02583597844541227,0.026135981779486988,0.023090244371752933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007533751205400193,0.0,0.0,0.0,0.007557550748953278,0.0,0.0,0.0,0.0,0.0,0.0,0.008237232289950576,0.0,0.0,0.015121729925903524,0.014103519835593256,0.0,0.01667222407469156,0.01843846673905472,0.0175247293402913,0.01949925902815693,0.025642669401884737,0.019784568036931193,0.01766199359752732,0.015249547959828334,0.015034687171116216,0.0,0.010475372399488802,0.0,0.0,0.0,0.01689010873007495,0.0,0.013753266400770183,0.013887924449690992,0.011903061467409418,0.011918382913806255,0.0,0.014089798985534474,0.018714325816412466,0.0,0.0,0.012476295039425092,0.017658930373360242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006695232994108195,0.0,0.0,0.0,0.008503762915089927,0.017594533964781608,0.026367058754595923,0.035035194445329175,0.03149345267694348,0.02718637962380847,0.033003300330033,0.022567877230747865,0.04225872906872326,0.053244225755517204,0.03989706557082727,0.04417518616685599,0.029963829377394433,0.027414014887918853,0.018760943883932294,0.03122012136822182,0.02912451701842611,0.018363112180252307,0.015716406181786432,0.02586117720078618,0.028407192032618142,0.02222108267952071,0.019109497420217846,0.01756697408871322,0.02608290638099674,0.029663614610318984,0.028085942985535742,0.03240243828348083,0.024877168978170286,0.012676145606659202,0.015515559890061176,0.018493689028618983,0.012019519699992789,0.0,0.015313544830402492,0.015266787104653824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034005894355021535,0.0,0.0,0.03792804508019073,0.0,0.0,0.03100454733360893,0.0,0.0,0.0,0.0,0.0,0.030099327781679543,0.05830285683998516,0.0,0.05871990604815032,0.03200614517987453,0.11315228966986156,0.07061149555147578,0.0838750262109457,0.09574613595951306,0.11594598281271314,0.052195958541495786,0.05583472920156338,0.05034401745259272,0.0,0.05062009617818274,0.047892720306513405,0.05671690163668773,0.039038101186758274,0.0544069640914037,0.06949270326615706,0.038529706403637204,0.0382907030173074,0.03796218965909954,0.05336586109628726,0.0,0.0,0.04612900745752287,0.05210659520619325,0.0,0.04671441918405481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013349352556401014,0.02242403856934634,0.015350540558321088,0.03231409298380256,0.017358432340688165,0.01129305477131564,0.0,0.012330890642615557,0.0,0.0,0.0,0.013252054068380597,0.01502128014687474,0.0083295850200743,0.012057531651020584,0.01009319382296538,0.02181574089612351,0.0638512974228907,0.05537405171936431,0.054016513619878075,0.06386715631486509,0.0554609198589708,0.07369049990041825,0.07471607890017933,0.07499879034209125,0.050431320504313204,0.05729720880739953,0.07313642756680731,0.04307126859243094,0.0628243649276154,0.06273525721455457,0.051534437888118734,0.04966969651815428,0.057679828883174314,0.03174459208199175,0.0313507703332139,0.021874179718260566,0.033651621587515244,0.03105268605734396,0.03417703705192899,0.02910417353848542,0.05012903585154379,0.039901334881021475,0.03337907502874309,0.021205636843830124,0.02025767765983308,0.018582371523547993,0.019033520143808817,0.0,0.01570105197048202,0.011193445118538583,0.015843914805006677,0.011145290000445812,0.0,0.0,0.013636673560762745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013013716457145833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
