state,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06430351257937464,0.18151815181518152,0.42321152437535603,0.4814250180534382,0.511529078460691,0.4386977603324867,0.5806451612903226,0.686120525750186,0.538821658864058,0.6037588859674748,0.6281782829793598,0.6295149638802889,0.5953524102170156,0.47645226314824995,0.4911108928396032,0.3707518022657055,0.38788132927979874,0.37708180580287,0.2387130254281266,0.17434109322120808,0.12144519785446818,0.14269697278564877,0.20094443886265445,0.18028275927507353,0.12581051001645216,0.06459352219248869,0.0,0.0547945205479452,0.06622516556291391,0.06963788300835655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038141734686093526,0.0,0.04703300148937838,0.29505396381706656,0.6276971361318164,0.6484984173550529,0.6252931061435048,0.5679545636349091,0.6210665783371977,0.5544446464279221,0.5939629990262901,0.5259835893120134,0.5676236218753411,0.6858407079646017,0.5504183179216204,0.33905488450943,0.3987163279198677,0.3981287946650741,0.39046856227472965,0.30371313804251987,0.31016237912789635,0.2339890805095762,0.18715924810806414,0.15007128385983343,0.08004074801717238,0.09748624747580252,0.10293007616825638,0.07058657443354273,0.0,0.0,0.0,0.0,0.05165289256198347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.00406461105736792,0.0,0.0,0.004087137777414477,0.004312230100598168,0.003587272357674969,0.0029480610602406797,0.005022489592285456,0.00326582154462473,0.0038015379936568623,0.005682845555756465,0.005627260496119748,0.010365200566630964,0.10227441084682257,0.21976512602156448,0.31283591298437746,0.3224287039240156,0.35199463627220917,0.3904577428891834,0.5267695672288346,0.4927557942945192,0.5125062989600989,0.493260169390433,0.53115449078182,0.5542359461599367,0.5059000831702238,0.49230175201505866,0.500855276798673,0.4452994963360065,0.3386142861520547,0.2883723070551512,0.22594774669175482,0.17649733712532853,0.15830228268904803,0.13361270535361816,0.09993989122484304,0.11091037186364303,0.0640646911014144,0.06376408720634488,0.054246233918557346,0.03817130105411516,0.03217526745691073,0.03097331762004049,0.023697910881043893,0.01753719346447257,0.01908329504894512,0.01462629808395495,0.008552490912978404,0.017674610422128614,0.009710188228264117,0.0038023391990752707,0.014822558373575278,0.004005736214258818,0.004100478115748296,0.005772767382214929,0.0,0.0041705591885760045,0.0,0.004369292611526194,0.006122788142783419,0.0,0.0,0.0,0.0,0.007932887769470282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007237548401104932,0.0,0.01299742217793471,0.007533686340350424,0.010422312085713096,0.014633483500747354,0.012034297748583464,0.2060900090719047,0.47066014669926654,0.49672774198834485,0.4793824486485932,0.5643702516925939,0.6456724952083177,0.8080653450406219,0.7793639420162045,0.6910520671988561,0.779586341941011,0.7420055493477633,0.7621107377798375,0.7138287062011517,0.7255716263306125,0.6852141294154424,0.5398315615076625,0.41955622197551873,0.37368444100602854,0.2945965951147298,0.2255525280048441,0.1669160815010936,0.12876415674109626,0.1111329938384492,0.07457945474131979,0.07504040637266221,0.046220065285842216,0.04677339046728126,0.0380135632393638,0.02576811726009125,0.024923283019455737,0.028463448188617783,0.013641530882910194,0.01646558692333024,0.013264163178683015,0.008974780865767194,0.01557511097266568,0.00947223844781586,0.0,0.01453676185553689,0.0,0.0,0.0,0.0,0.0,0.0,0.008763627440670243,0.0,0.0,0.0,0.0,0.0,0.009440196356084207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014188673891066456,0.0,0.0,0.00893878718535469,0.00902853015529072,0.16313798605259855,0.30732772984781725,0.40846572321928826,0.4122891086960453,0.4472058796576309,0.5680301932827571,0.6418227766857876,0.5583777656492716,0.5470708912696604,0.622466014786549,0.688107334878903,0.7115558684501659,0.6607598738549332,0.6553368382442841,0.6373147803919486,0.5523076471106672,0.5883817944088164,0.3836240484325361,0.3112636723295322,0.30047382410724605,0.20135309278350513,0.16415500538213132,0.15600225052426986,0.1103420603872003,0.09027831514870129,0.07174363607376308,0.06584000877866784,0.058957298071254105,0.04367193641366058,0.025006251562890724,0.04810776138550353,0.029005124238615485,0.0190011717389239,0.021937384436992696,0.019418104145765235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018498392952112287,0.013651877133105802,0.24844432060926905,0.5151896284829721,0.47057154342736884,0.6400667042695638,0.5927757037634951,0.6335988414192614,0.689731280693042,0.6615117749095933,0.6878480183426138,0.7485830392471393,0.7332790163691578,0.721915285451197,0.8018569318421608,0.6792634990690297,0.5466297322253001,0.5618431689571544,0.4266532814656795,0.3289608947736338,0.3213520590335634,0.2595023660509846,0.19238595582522475,0.1808985860375826,0.12377514182568335,0.1266809588774118,0.09219813060342087,0.04511617414843221,0.07388846054998714,0.05242807523428796,0.050293378038558254,0.027054447074737913,0.03154353007149867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028480755146879325,0.023903430142225412,0.0,0.0,0.0,0.0,0.019767533802482803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009129918743723181,0.10474224300200377,0.44341772740662644,0.6783379946536459,0.6391292654759456,0.6809763356679553,0.7215815485996705,1.0105455591854697,1.0560492139439508,1.0566308785725087,1.116192855559809,1.1594620754988982,1.1858119373124376,1.1780131527729405,1.2364670145649972,1.1075579127993136,1.021432997841742,0.7803912947900637,0.6468705155094381,0.5468052197024159,0.4553362400395197,0.36086362616974865,0.2723596823867088,0.2304852428253819,0.18179981820018182,0.12985109012084528,0.13089834265808087,0.12154696132596686,0.09856507587218631,0.06943962224845497,0.05475408275008332,0.04052250190694127,0.034002040122407345,0.025831298140146532,0.016375035089360907,0.018783311028151485,0.014459921916421651,0.019962072063080146,0.017658930373360242,0.012861736334405145,0.012937949593748384,0.0,0.012818540737322463,0.0,0.01537633581917429,0.0,0.013560425254935995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15451664025356576,0.3401178361006963,0.5094994837965756,0.5524861878453038,0.5419902777001732,0.6023498731522031,0.8064161400524903,0.7353479719337308,0.6688537121381024,0.6945135090336483,0.7935024552699097,0.8355046030918881,0.7846677314075411,0.8434138009966017,0.7729592773473359,0.6044405433980331,0.47330556607345703,0.4644393553496137,0.37536112692688894,0.2980905528224798,0.2556147437023161,0.1728054676426616,0.18179481058449787,0.11699991268663232,0.1293058860039309,0.10527371165029076,0.07350050424764541,0.06775185448986329,0.06499780412823891,0.04657661853749418,0.035596337532382775,0.028085942985535742,0.028352133498045728,0.029023363807865334,0.016901527475545602,0.03103111978012235,0.0,0.019231231519988463,0.017275845899454575,0.0,0.0,0.012815255279885175,0.0,0.0,0.0,0.014229204018327215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14120020171457387,0.35089503661513427,0.47950736927114884,0.5674528767393664,0.6201397775371592,0.6772348750877897,0.8215402554725181,0.8759443775320267,0.8103347034644744,1.0690052490078095,1.08493077742279,1.1509673774890552,1.1393024393653457,1.2652167966078511,0.9275678625017051,0.9469838192528522,0.8135917683656377,0.6964255747608659,0.46199076018479635,0.42183413481818954,0.2713920817369093,0.2106627775076973,0.2108057464084947,0.1632208922742111,0.14670681800633156,0.06935347152654697,0.06126512482769183,0.0,0.03811847221163375,0.046475600309837335,0.0,0.03844083954793572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09100987870865256,0.18013164761536002,0.2898886827458256,0.3388133188683969,0.3415129858230463,0.4650762208250797,0.5938162365844631,0.5638529954690384,0.5675670882034728,0.6312641896007531,0.6250482290300178,0.7045345680983554,0.6397813255159845,0.6930890260904202,0.7514302792246605,0.7427299559684521,0.5202388852023888,0.3546970069029494,0.35443037974683544,0.31298455177166484,0.24583447145588638,0.20729911079591948,0.20871447344688088,0.15397605920627824,0.1345862673940734,0.11564101401296993,0.09629165173772841,0.04812319538017325,0.05468388507971227,0.05382465583272954,0.03216662310769788,0.02716389530258639,0.018566309574645848,0.016323273360417875,0.016689537514371546,0.021205636843830124,0.0,0.01238824768236533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01160496692584426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
