name,count
Olivia,463793
Omar,93921
Opal,57477
Oscar,182874
Otis,50108
Owen,189949
Paige,138572
Pamela,587485
Parker,121126
Pat,60188
Patricia,1558629
Patrick,664868
Patsy,121595
Patty,59263
Paul,1358042
Paula,272593
Pauline,199716
Payton,74717
Pearl,102671
Pedro,85316
Peggy,287317
Penelope,68049
Penny,94363
Perry,67982
Peter,560893
Peyton,120718
Philip,329930
Phillip,302247
Phyllis,315416
Preston,109837
Priscilla,113972
Quinn,62250
Rachael,77170
Rachel,553851
Rafael,76908
Ralph,387763
Ramon,69581
Ramona,63811
Randall,193894
Randy,328289
Raul,82111
Ray,190840
Raymond,747305
Reagan,57779
Rebecca,735199
Rebekah,70681
Regina,169963
Reginald,103020
Rene,62273
Renee,180043
Rex,53041
Rhonda,204519
Ricardo,137110
Richard,2532055
Rick,78060
Rickey,58234
Ricky,218929
Riley,202046
Rita,275624
Robert,4724588
Roberta,163702
Roberto,106090
Robin,324785
Robyn,59112
Rodney,241172
Roger,434589
Roland,91136
Roman,69457
Ronald,1070540
Ronnie,181790
Rosa,147503
Rosalie,66524
Rose,422881
Rosemary,152275
Rosie,67032
Ross,74559
Roxanne,54653
Roy,375893
Ruben,107443
Ruby,323674
Russell,343098
Ruth,732331
Ryan,956414
Ryder,47330
Rylee,56839
Sabrina,135297
Sadie,104762
Sally,194306
Salvatore,52643
Sam,104841
Samantha,574895
Samuel,739420
Sandra,867552
Sandy,71252
Santiago,63944
Sara,414090
Sarah,1027842
Savannah,170714
Sawyer,56894
Scarlett,70192
Scott,766622
Sean,415573
Sebastian,160797
Selena,47839
Serenity,59357
Sergio,74783
Seth,157998
Shane,189146
Shannon,339572
Sharon,713992
Shaun,67897
Shawn,331426
Sheila,232754
Shelby,154767
Shelley,69615
Shelly,81701
Sheri,57940
Sherri,81009
Sherry,226061
Sheryl,75843
Shirley,682735
Sidney,92395
Sierra,95868
Simon,54424
Skylar,85282
Skyler,61396
Sofia,138046
Sonia,60697
Sonya,60565
Sophia,352346
Sophie,105042
Spencer,115439
Stacey,155047
Stacy,178046
Stanley,287913
Stella,149016
Stephanie,736238
Stephen,845960
Steve,233894
Steven,1277031
Stuart,62988
Sue,137138
Summer,78012
Susan,1102736
Susie,62350
Suzanne,213785
Sydney,170798
Sylvia,226742
Tabitha,55795
Tamara,127435
Tammy,328871
Tanner,92460
Tanya,112681
Tara,171843
Taylor,426842
Ted,69749
Teresa,404770
Terrance,65042
Terrence,66945
Terri,142513
Terry,511827
Tessa,47339
Thelma,200747
Theodore,236624
Theresa,385255
Thomas,2240294
Tiffany,334157
Tim,78425
Timothy,1065481
Tina,285695
Todd,278321
Tom,125311
Tommy,173020
Toni,95776
Tony,244642
Tonya,116854
Tracey,89197
Traci,49871
Tracy,302652
Travis,300658
Trent,47889
Trenton,54259
Trevor,155905
Trinity,78079
Tristan,116864
Troy,209021
Tyler,601657
Tyrone,73193
Valeria,63693
Valerie,256614
Vanessa,252901
Velma,74746
Vera,119274
Verna,57023
Vernon,138015
Veronica,211137
Vicki,150151
Vickie,107044
Vicky,49932
Victor,311477
Victoria,489037
Vincent,337081
Viola,97676
Violet,131719
Virgil,63020
Virginia,621892
Vivian,200155
Wade,65544
Wallace,73730
Walter,561761
Wanda,274544
Warren,168962
Wayne,346126
Wendell,48136
Wendy,257820
Wesley,213611
Whitney,96487
Wilbur,48909
Willard,69097
William,3885930
Willie,532004
Wilma,131503
Wyatt,161379
Xavier,135850
Yolanda,107767
Yvette,58340
Yvonne,149360
Zachary,535583
Zoe,126290
Zoey,87899
